Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:17:40.888000,LEC,16,0 days 00:03:08.456000,1.0,1.0,0 days 02:14:48.268000,,,0 days 00:01:22.600000,0 days 00:00:48.890000,,0 days 02:16:52.026000,0 days 02:17:40.931000,202.0,133.0,189.0,184.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 02:14:32.096000,2025-07-27 14:20:00.066,14,3.0,False,,False,False
0 days 02:20:34.519000,LEC,16,,2.0,1.0,,,0 days 00:00:46.016000,0 days 00:01:20,0 days 00:00:47.637000,0 days 02:18:26.984000,0 days 02:19:46.910000,0 days 02:20:34.646000,262.0,92.0,173.0,240.0,False,INTERMEDIATE,2.0,True,Ferrari,0 days 02:17:40.888000,2025-07-27 14:23:08.858,4,3.0,False,,False,False
0 days 02:23:25.835000,LEC,16,,3.0,1.0,,,0 days 00:00:45.364000,0 days 00:01:20.848000,0 days 00:00:45.009000,0 days 02:21:20.104000,0 days 02:22:40.854000,0 days 02:23:25.910000,223.0,110.0,194.0,235.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 02:20:34.519000,2025-07-27 14:26:02.489,4,3.0,False,,False,False
0 days 02:26:26.594000,LEC,16,,4.0,1.0,,,0 days 00:00:44.829000,0 days 00:01:24.132000,0 days 00:00:51.923000,0 days 02:24:10.701000,0 days 02:25:34.922000,0 days 02:26:26.703000,246.0,87.0,213.0,258.0,False,INTERMEDIATE,4.0,True,Ferrari,0 days 02:23:25.835000,2025-07-27 14:28:53.805,41,3.0,False,,False,False
0 days 02:28:27.057000,LEC,16,0 days 00:02:00.463000,5.0,1.0,,,0 days 00:00:32.971000,0 days 00:00:56.048000,0 days 00:00:31.444000,0 days 02:26:59.593000,0 days 02:27:55.641000,0 days 02:28:27.085000,302.0,184.0,211.0,288.0,True,INTERMEDIATE,5.0,True,Ferrari,0 days 02:26:26.594000,2025-07-27 14:31:54.564,1,3.0,False,,False,True
0 days 02:30:27.199000,LEC,16,0 days 00:02:00.142000,6.0,1.0,,,0 days 00:00:32.732000,0 days 00:00:55.815000,0 days 00:00:31.595000,0 days 02:28:59.817000,0 days 02:29:55.632000,0 days 02:30:27.227000,312.0,173.0,209.0,302.0,True,INTERMEDIATE,6.0,True,Ferrari,0 days 02:28:27.057000,2025-07-27 14:33:55.027,1,3.0,False,,False,True
0 days 02:32:27.753000,LEC,16,0 days 00:02:00.554000,7.0,1.0,,,0 days 00:00:33.067000,0 days 00:00:55.695000,0 days 00:00:31.792000,0 days 02:31:00.294000,0 days 02:31:55.989000,0 days 02:32:27.781000,310.0,177.0,206.0,303.0,False,INTERMEDIATE,7.0,True,Ferrari,0 days 02:30:27.199000,2025-07-27 14:35:55.169,1,3.0,False,,False,True
0 days 02:34:29.573000,LEC,16,0 days 00:02:01.820000,8.0,1.0,,,0 days 00:00:33.191000,0 days 00:00:56.337000,0 days 00:00:32.292000,0 days 02:33:00.972000,0 days 02:33:57.309000,0 days 02:34:29.601000,317.0,175.0,203.0,,False,INTERMEDIATE,8.0,True,Ferrari,0 days 02:32:27.753000,2025-07-27 14:37:55.723,1,3.0,False,,False,True
0 days 02:36:33.283000,LEC,16,0 days 00:02:03.710000,9.0,1.0,,,0 days 00:00:33.632000,0 days 00:00:57.514000,0 days 00:00:32.564000,0 days 02:35:03.233000,0 days 02:36:00.747000,0 days 02:36:33.311000,308.0,173.0,205.0,,False,INTERMEDIATE,9.0,True,Ferrari,0 days 02:34:29.573000,2025-07-27 14:39:57.543,1,3.0,False,,False,True
0 days 02:38:37.491000,LEC,16,0 days 00:02:04.208000,10.0,1.0,,,0 days 00:00:33.674000,0 days 00:00:58.244000,0 days 00:00:32.290000,0 days 02:37:06.985000,0 days 02:38:05.229000,0 days 02:38:37.519000,309.0,169.0,202.0,305.0,False,INTERMEDIATE,10.0,True,Ferrari,0 days 02:36:33.283000,2025-07-27 14:42:01.253,1,3.0,False,,False,True
0 days 02:40:39.969000,LEC,16,0 days 00:02:02.478000,11.0,1.0,,,0 days 00:00:33.686000,0 days 00:00:56.886000,0 days 00:00:31.906000,0 days 02:39:11.205000,0 days 02:40:08.091000,0 days 02:40:39.997000,,173.0,205.0,,False,INTERMEDIATE,11.0,True,Ferrari,0 days 02:38:37.491000,2025-07-27 14:44:05.461,1,3.0,False,,False,True
0 days 02:42:45.824000,LEC,16,0 days 00:02:05.855000,12.0,1.0,,0 days 02:42:42.092000,0 days 00:00:33.329000,0 days 00:00:56.074000,0 days 00:00:36.452000,0 days 02:41:13.326000,0 days 02:42:09.400000,0 days 02:42:45.852000,311.0,176.0,,306.0,False,INTERMEDIATE,12.0,True,Ferrari,0 days 02:40:39.969000,2025-07-27 14:46:07.939,1,3.0,False,,False,False
0 days 02:45:02.487000,LEC,16,0 days 00:02:16.663000,13.0,2.0,0 days 02:43:05.873000,,0 days 00:00:50.538000,0 days 00:00:56.004000,0 days 00:00:30.121000,0 days 02:43:36.390000,0 days 02:44:32.394000,0 days 02:45:02.515000,301.0,191.0,219.0,252.0,False,MEDIUM,1.0,True,Ferrari,0 days 02:42:45.824000,2025-07-27 14:48:13.794,1,5.0,False,,False,False
0 days 02:46:52.457000,LEC,16,0 days 00:01:49.970000,14.0,2.0,,,0 days 00:00:31.857000,0 days 00:00:48.849000,0 days 00:00:29.264000,0 days 02:45:34.372000,0 days 02:46:23.221000,0 days 02:46:52.485000,314.0,205.0,220.0,308.0,True,MEDIUM,2.0,True,Ferrari,0 days 02:45:02.487000,2025-07-27 14:50:30.457,1,3.0,False,,False,True
0 days 02:48:40.650000,LEC,16,0 days 00:01:48.193000,15.0,2.0,,,0 days 00:00:31.563000,0 days 00:00:47.769000,0 days 00:00:28.861000,0 days 02:47:24.048000,0 days 02:48:11.817000,0 days 02:48:40.678000,,207.0,220.0,310.0,True,MEDIUM,3.0,True,Ferrari,0 days 02:46:52.457000,2025-07-27 14:52:20.427,1,3.0,False,,False,True
0 days 02:50:28.157000,LEC,16,0 days 00:01:47.507000,16.0,2.0,,,0 days 00:00:31.272000,0 days 00:00:47.422000,0 days 00:00:28.813000,0 days 02:49:11.950000,0 days 02:49:59.372000,0 days 02:50:28.185000,316.0,207.0,220.0,,True,MEDIUM,4.0,True,Ferrari,0 days 02:48:40.650000,2025-07-27 14:54:08.620,1,3.0,False,,False,True
0 days 02:52:15.368000,LEC,16,0 days 00:01:47.211000,17.0,2.0,,,0 days 00:00:31.258000,0 days 00:00:47.045000,0 days 00:00:28.908000,0 days 02:50:59.443000,0 days 02:51:46.488000,0 days 02:52:15.396000,312.0,208.0,218.0,312.0,True,MEDIUM,5.0,True,Ferrari,0 days 02:50:28.157000,2025-07-27 14:55:56.127,1,3.0,False,,False,True
0 days 02:54:02.333000,LEC,16,0 days 00:01:46.965000,18.0,2.0,,,0 days 00:00:31.195000,0 days 00:00:46.991000,0 days 00:00:28.779000,0 days 02:52:46.591000,0 days 02:53:33.582000,0 days 02:54:02.361000,316.0,206.0,219.0,,True,MEDIUM,6.0,True,Ferrari,0 days 02:52:15.368000,2025-07-27 14:57:43.338,1,3.0,False,,False,True
0 days 02:55:49.119000,LEC,16,0 days 00:01:46.786000,19.0,2.0,,,0 days 00:00:31.137000,0 days 00:00:46.831000,0 days 00:00:28.818000,0 days 02:54:33.498000,0 days 02:55:20.329000,0 days 02:55:49.147000,317.0,208.0,219.0,313.0,True,MEDIUM,7.0,True,Ferrari,0 days 02:54:02.333000,2025-07-27 14:59:30.303,1,3.0,False,,False,True
0 days 02:57:36.231000,LEC,16,0 days 00:01:47.112000,20.0,2.0,,,0 days 00:00:31.076000,0 days 00:00:47.233000,0 days 00:00:28.803000,0 days 02:56:20.223000,0 days 02:57:07.456000,0 days 02:57:36.259000,314.0,211.0,219.0,312.0,False,MEDIUM,8.0,True,Ferrari,0 days 02:55:49.119000,2025-07-27 15:01:17.089,1,3.0,False,,False,True
0 days 02:59:23.226000,LEC,16,0 days 00:01:46.995000,21.0,2.0,,,0 days 00:00:31.198000,0 days 00:00:47.011000,0 days 00:00:28.786000,0 days 02:58:07.457000,0 days 02:58:54.468000,0 days 02:59:23.254000,317.0,207.0,219.0,313.0,False,MEDIUM,9.0,True,Ferrari,0 days 02:57:36.231000,2025-07-27 15:03:04.201,1,3.0,False,,False,True
0 days 03:01:10.423000,LEC,16,0 days 00:01:47.197000,22.0,2.0,,,0 days 00:00:31.309000,0 days 00:00:47.136000,0 days 00:00:28.752000,0 days 02:59:54.563000,0 days 03:00:41.699000,0 days 03:01:10.451000,316.0,209.0,218.0,,False,MEDIUM,10.0,True,Ferrari,0 days 02:59:23.226000,2025-07-27 15:04:51.196,1,3.0,False,,False,True
0 days 03:02:57.085000,LEC,16,0 days 00:01:46.662000,23.0,2.0,,,0 days 00:00:31.030000,0 days 00:00:46.919000,0 days 00:00:28.713000,0 days 03:01:41.481000,0 days 03:02:28.400000,0 days 03:02:57.113000,317.0,210.0,219.0,,True,MEDIUM,11.0,True,Ferrari,0 days 03:01:10.423000,2025-07-27 15:06:38.393,1,3.0,False,,False,True
0 days 03:04:43.814000,LEC,16,0 days 00:01:46.729000,24.0,2.0,,,0 days 00:00:31.048000,0 days 00:00:46.939000,0 days 00:00:28.742000,0 days 03:03:28.161000,0 days 03:04:15.100000,0 days 03:04:43.842000,316.0,207.0,219.0,,False,MEDIUM,12.0,True,Ferrari,0 days 03:02:57.085000,2025-07-27 15:08:25.055,1,3.0,False,,False,True
0 days 03:06:30.667000,LEC,16,0 days 00:01:46.853000,25.0,2.0,,,0 days 00:00:31.057000,0 days 00:00:46.976000,0 days 00:00:28.820000,0 days 03:05:14.899000,0 days 03:06:01.875000,0 days 03:06:30.695000,,207.0,220.0,314.0,False,MEDIUM,13.0,True,Ferrari,0 days 03:04:43.814000,2025-07-27 15:10:11.784,1,3.0,False,,False,True
0 days 03:08:17.377000,LEC,16,0 days 00:01:46.710000,26.0,2.0,,,0 days 00:00:31.011000,0 days 00:00:46.944000,0 days 00:00:28.755000,0 days 03:07:01.706000,0 days 03:07:48.650000,0 days 03:08:17.405000,317.0,206.0,220.0,312.0,False,MEDIUM,14.0,True,Ferrari,0 days 03:06:30.667000,2025-07-27 15:11:58.637,1,3.0,False,,False,True
0 days 03:10:03.968000,LEC,16,0 days 00:01:46.591000,27.0,2.0,,,0 days 00:00:30.973000,0 days 00:00:46.872000,0 days 00:00:28.746000,0 days 03:08:48.378000,0 days 03:09:35.250000,0 days 03:10:03.996000,316.0,207.0,220.0,313.0,True,MEDIUM,15.0,True,Ferrari,0 days 03:08:17.377000,2025-07-27 15:13:45.347,1,3.0,False,,False,True
0 days 03:11:50.558000,LEC,16,0 days 00:01:46.590000,28.0,2.0,,,0 days 00:00:30.933000,0 days 00:00:47.001000,0 days 00:00:28.656000,0 days 03:10:34.929000,0 days 03:11:21.930000,0 days 03:11:50.586000,317.0,207.0,220.0,315.0,True,MEDIUM,16.0,True,Ferrari,0 days 03:10:03.968000,2025-07-27 15:15:31.938,1,3.0,False,,False,True
0 days 03:13:37.215000,LEC,16,0 days 00:01:46.657000,29.0,2.0,,,0 days 00:00:31.035000,0 days 00:00:46.920000,0 days 00:00:28.702000,0 days 03:12:21.621000,0 days 03:13:08.541000,0 days 03:13:37.243000,316.0,207.0,220.0,314.0,False,MEDIUM,17.0,True,Ferrari,0 days 03:11:50.558000,2025-07-27 15:17:18.528,1,3.0,False,,False,True
