Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,1.0,0 days 00:02:11.978000,1.0,MEDIUM,1.0,0 days 00:56:24.191000,,,0 days 00:00:46.019000,0 days 00:00:38.067000,259.0,197.0,120.0,280.0
LEC,2.0,0 days 00:02:17.868000,1.0,MEDIUM,2.0,,,0 days 00:00:47.820000,0 days 00:00:53.895000,0 days 00:00:36.153000,157.0,173.0,157.0,255.0
LEC,3.0,0 days 00:02:15.872000,1.0,MEDIUM,3.0,,,0 days 00:00:45.563000,0 days 00:00:51.923000,0 days 00:00:38.386000,112.0,191.0,163.0,146.0
LEC,4.0,0 days 00:01:52.993000,1.0,MEDIUM,4.0,,,0 days 00:00:37.560000,0 days 00:00:42.616000,0 days 00:00:32.817000,286.0,232.0,174.0,296.0
LEC,5.0,0 days 00:01:58.458000,1.0,MEDIUM,5.0,,,0 days 00:00:35.369000,0 days 00:00:45.467000,0 days 00:00:37.622000,291.0,117.0,160.0,245.0
LEC,6.0,0 days 00:02:17.909000,1.0,MEDIUM,6.0,,,0 days 00:00:44.034000,0 days 00:00:55.199000,0 days 00:00:38.676000,223.0,198.0,160.0,194.0
LEC,7.0,0 days 00:01:52.542000,1.0,MEDIUM,7.0,,,0 days 00:00:40.420000,0 days 00:00:40.352000,0 days 00:00:31.770000,290.0,245.0,179.0,309.0
LEC,8.0,0 days 00:01:44.730000,1.0,MEDIUM,8.0,,,0 days 00:00:32.950000,0 days 00:00:39.590000,0 days 00:00:32.190000,305.0,254.0,178.0,328.0
LEC,9.0,0 days 00:01:40.941000,1.0,MEDIUM,9.0,,,0 days 00:00:32.265000,0 days 00:00:39.013000,0 days 00:00:29.663000,311.0,258.0,193.0,330.0
LEC,10.0,0 days 00:01:40.092000,1.0,MEDIUM,10.0,,0 days 01:15:56.680000,0 days 00:00:31.426000,0 days 00:00:41.038000,0 days 00:00:27.628000,287.0,252.0,,302.0
LEC,11.0,0 days 00:02:08.576000,2.0,INTERMEDIATE,1.0,0 days 01:16:25.769000,,0 days 00:00:53.666000,0 days 00:00:45.316000,0 days 00:00:29.594000,280.0,220.0,211.0,295.0
LEC,12.0,0 days 00:01:48.142000,2.0,INTERMEDIATE,2.0,,,0 days 00:00:33.873000,0 days 00:00:44.628000,0 days 00:00:29.641000,290.0,238.0,200.0,305.0
