Driver,Stint,Compound,TyreLife
LEC,1.0,MEDIUM,1.0
LEC,1.0,MEDIUM,2.0
LEC,1.0,MEDIUM,3.0
LEC,1.0,MEDIUM,4.0
LEC,1.0,MEDIUM,5.0
LEC,1.0,MEDIUM,6.0
LEC,1.0,MEDIUM,7.0
LEC,1.0,MEDIUM,8.0
LEC,1.0,MEDIUM,9.0
LEC,1.0,MEDIUM,10.0
LEC,2.0,INTERMEDIATE,1.0
LEC,2.0,INTERMEDIATE,2.0
LEC,2.0,INTERMEDIATE,3.0
LEC,2.0,INTERMEDIATE,4.0
LEC,2.0,INTERMEDIATE,5.0
LEC,2.0,INTERMEDIATE,6.0
LEC,2.0,INTERMEDIATE,7.0
LEC,2.0,INTERMEDIATE,8.0
LEC,2.0,INTERMEDIATE,9.0
LEC,2.0,INTERMEDIATE,10.0
LEC,2.0,INTERMEDIATE,11.0
LEC,2.0,INTERMEDIATE,12.0
LEC,2.0,INTERMEDIATE,13.0
LEC,2.0,INTERMEDIATE,14.0
LEC,2.0,INTERMEDIATE,15.0
LEC,2.0,INTERMEDIATE,16.0
LEC,2.0,INTERMEDIATE,17.0
LEC,2.0,INTERMEDIATE,18.0
LEC,2.0,INTERMEDIATE,19.0
LEC,2.0,INTERMEDIATE,20.0
LEC,2.0,INTERMEDIATE,21.0
LEC,2.0,INTERMEDIATE,22.0
LEC,2.0,INTERMEDIATE,23.0
LEC,2.0,INTERMEDIATE,24.0
LEC,2.0,INTERMEDIATE,25.0
LEC,2.0,INTERMEDIATE,26.0
LEC,2.0,INTERMEDIATE,27.0
LEC,2.0,INTERMEDIATE,28.0
LEC,2.0,INTERMEDIATE,29.0
LEC,2.0,INTERMEDIATE,30.0
LEC,2.0,INTERMEDIATE,31.0
LEC,2.0,INTERMEDIATE,32.0
LEC,3.0,SOFT,4.0
LEC,3.0,SOFT,5.0
LEC,3.0,SOFT,6.0
LEC,3.0,SOFT,7.0
LEC,3.0,SOFT,8.0
LEC,3.0,SOFT,9.0
LEC,3.0,SOFT,10.0
LEC,3.0,SOFT,11.0
LEC,3.0,SOFT,12.0
LEC,3.0,SOFT,13.0
HAM,1.0,INTERMEDIATE,1.0
HAM,1.0,INTERMEDIATE,2.0
HAM,1.0,INTERMEDIATE,3.0
HAM,1.0,INTERMEDIATE,4.0
HAM,1.0,INTERMEDIATE,5.0
HAM,1.0,INTERMEDIATE,6.0
HAM,1.0,INTERMEDIATE,7.0
HAM,1.0,INTERMEDIATE,8.0
HAM,1.0,INTERMEDIATE,9.0
HAM,1.0,INTERMEDIATE,10.0
HAM,1.0,INTERMEDIATE,11.0
HAM,2.0,INTERMEDIATE,1.0
HAM,2.0,INTERMEDIATE,2.0
HAM,2.0,INTERMEDIATE,3.0
HAM,2.0,INTERMEDIATE,4.0
HAM,2.0,INTERMEDIATE,5.0
HAM,2.0,INTERMEDIATE,6.0
HAM,2.0,INTERMEDIATE,7.0
HAM,2.0,INTERMEDIATE,8.0
HAM,2.0,INTERMEDIATE,9.0
HAM,2.0,INTERMEDIATE,10.0
HAM,2.0,INTERMEDIATE,11.0
HAM,2.0,INTERMEDIATE,12.0
HAM,2.0,INTERMEDIATE,13.0
HAM,2.0,INTERMEDIATE,14.0
HAM,2.0,INTERMEDIATE,15.0
HAM,2.0,INTERMEDIATE,16.0
HAM,2.0,INTERMEDIATE,17.0
HAM,2.0,INTERMEDIATE,18.0
HAM,2.0,INTERMEDIATE,19.0
HAM,2.0,INTERMEDIATE,20.0
HAM,2.0,INTERMEDIATE,21.0
HAM,2.0,INTERMEDIATE,22.0
HAM,2.0,INTERMEDIATE,23.0
HAM,2.0,INTERMEDIATE,24.0
HAM,2.0,INTERMEDIATE,25.0
HAM,2.0,INTERMEDIATE,26.0
HAM,2.0,INTERMEDIATE,27.0
HAM,2.0,INTERMEDIATE,28.0
HAM,2.0,INTERMEDIATE,29.0
HAM,2.0,INTERMEDIATE,30.0
HAM,3.0,SOFT,4.0
HAM,3.0,SOFT,5.0
HAM,3.0,SOFT,6.0
HAM,3.0,SOFT,7.0
HAM,3.0,SOFT,8.0
HAM,3.0,SOFT,9.0
HAM,3.0,SOFT,10.0
HAM,3.0,SOFT,11.0
HAM,3.0,SOFT,12.0
HAM,3.0,SOFT,13.0
HAM,3.0,SOFT,14.0
