Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,1.0,0 days 00:01:28.571000,1.0,MEDIUM,1.0,,,,0 days 00:00:29.351000,0 days 00:00:27.510000,208.0,255.0,277.0,290.0
LEC,2.0,0 days 00:01:22.899000,1.0,MEDIUM,2.0,,,0 days 00:00:26.724000,0 days 00:00:28.979000,0 days 00:00:27.196000,211.0,254.0,277.0,290.0
LEC,3.0,0 days 00:01:21.571000,1.0,MEDIUM,3.0,,,0 days 00:00:25.619000,0 days 00:00:28.892000,0 days 00:00:27.060000,219.0,254.0,275.0,287.0
LEC,4.0,0 days 00:01:21.428000,1.0,MEDIUM,4.0,,,0 days 00:00:25.650000,0 days 00:00:28.343000,0 days 00:00:27.435000,216.0,253.0,279.0,290.0
LEC,5.0,0 days 00:01:21.706000,1.0,MEDIUM,5.0,,,0 days 00:00:25.474000,0 days 00:00:28.750000,0 days 00:00:27.482000,214.0,251.0,279.0,289.0
LEC,6.0,0 days 00:01:21.621000,1.0,MEDIUM,6.0,,,0 days 00:00:25.242000,0 days 00:00:28.815000,0 days 00:00:27.564000,,252.0,278.0,289.0
LEC,7.0,0 days 00:01:22.162000,1.0,MEDIUM,7.0,,,0 days 00:00:25.491000,0 days 00:00:28.710000,0 days 00:00:27.961000,211.0,254.0,277.0,288.0
LEC,8.0,0 days 00:01:21.810000,1.0,MEDIUM,8.0,,,0 days 00:00:25.778000,0 days 00:00:28.712000,0 days 00:00:27.320000,,252.0,278.0,288.0
LEC,9.0,0 days 00:01:21.713000,1.0,MEDIUM,9.0,,,0 days 00:00:25.388000,0 days 00:00:28.753000,0 days 00:00:27.572000,215.0,253.0,278.0,292.0
LEC,10.0,0 days 00:01:26.751000,1.0,MEDIUM,10.0,,0 days 01:09:45.227000,0 days 00:00:25.555000,0 days 00:00:29.053000,0 days 00:00:32.143000,214.0,255.0,,291.0
LEC,11.0,0 days 00:01:42.454000,2.0,HARD,1.0,0 days 01:10:14.814000,,0 days 00:00:48.016000,0 days 00:00:27.821000,0 days 00:00:26.617000,219.0,254.0,274.0,284.0
LEC,12.0,0 days 00:01:20.505000,2.0,HARD,2.0,,,0 days 00:00:25.690000,0 days 00:00:28.034000,0 days 00:00:26.781000,218.0,256.0,270.0,288.0
