Driver,Stint,Compound,TyreLife
LEC,1.0,MEDIUM,1.0
LEC,1.0,MEDIUM,2.0
LEC,1.0,MEDIUM,3.0
LEC,1.0,MEDIUM,4.0
LEC,1.0,MEDIUM,5.0
LEC,1.0,MEDIUM,6.0
LEC,1.0,MEDIUM,7.0
LEC,1.0,MEDIUM,8.0
LEC,1.0,MEDIUM,9.0
LEC,1.0,MEDIUM,10.0
LEC,2.0,HARD,1.0
LEC,2.0,HARD,2.0
LEC,2.0,HARD,3.0
LEC,2.0,HARD,4.0
LEC,2.0,HARD,5.0
LEC,2.0,HARD,6.0
LEC,2.0,HARD,7.0
LEC,2.0,HARD,8.0
LEC,2.0,HARD,9.0
LEC,2.0,HARD,10.0
LEC,2.0,HARD,11.0
LEC,2.0,HARD,12.0
LEC,2.0,HARD,13.0
LEC,2.0,HARD,14.0
LEC,2.0,HARD,15.0
LEC,2.0,HARD,16.0
LEC,2.0,HARD,17.0
LEC,2.0,HARD,18.0
LEC,2.0,HARD,19.0
LEC,3.0,HARD,1.0
LEC,3.0,HARD,2.0
LEC,3.0,HARD,3.0
LEC,3.0,HARD,4.0
LEC,3.0,HARD,5.0
LEC,3.0,HARD,6.0
LEC,3.0,HARD,7.0
LEC,3.0,HARD,8.0
LEC,3.0,HARD,9.0
LEC,3.0,HARD,10.0
LEC,3.0,HARD,11.0
LEC,3.0,HARD,12.0
LEC,3.0,HARD,13.0
LEC,3.0,HARD,14.0
LEC,3.0,HARD,15.0
LEC,3.0,HARD,16.0
LEC,3.0,HARD,17.0
LEC,3.0,HARD,18.0
LEC,3.0,HARD,19.0
LEC,3.0,HARD,20.0
LEC,3.0,HARD,21.0
LEC,3.0,HARD,22.0
LEC,3.0,HARD,23.0
LEC,3.0,HARD,24.0
LEC,3.0,HARD,25.0
LEC,3.0,HARD,26.0
LEC,3.0,HARD,27.0
LEC,3.0,HARD,28.0
LEC,3.0,HARD,29.0
LEC,3.0,HARD,30.0
LEC,3.0,HARD,31.0
LEC,3.0,HARD,32.0
LEC,3.0,HARD,33.0
LEC,3.0,HARD,34.0
HAM,1.0,HARD,1.0
HAM,1.0,HARD,2.0
HAM,1.0,HARD,3.0
HAM,1.0,HARD,4.0
HAM,1.0,HARD,5.0
HAM,1.0,HARD,6.0
HAM,1.0,HARD,7.0
HAM,1.0,HARD,8.0
HAM,1.0,HARD,9.0
HAM,1.0,HARD,10.0
HAM,1.0,HARD,11.0
HAM,1.0,HARD,12.0
HAM,1.0,HARD,13.0
HAM,1.0,HARD,14.0
HAM,1.0,HARD,15.0
HAM,1.0,HARD,16.0
HAM,1.0,HARD,17.0
HAM,1.0,HARD,18.0
HAM,1.0,HARD,19.0
HAM,1.0,HARD,20.0
HAM,1.0,HARD,21.0
HAM,1.0,HARD,22.0
HAM,1.0,HARD,23.0
HAM,1.0,HARD,24.0
HAM,1.0,HARD,25.0
HAM,1.0,HARD,26.0
HAM,1.0,HARD,27.0
HAM,1.0,HARD,28.0
HAM,1.0,HARD,29.0
HAM,2.0,MEDIUM,1.0
HAM,2.0,MEDIUM,2.0
HAM,2.0,MEDIUM,3.0
HAM,2.0,MEDIUM,4.0
HAM,2.0,MEDIUM,5.0
HAM,2.0,MEDIUM,6.0
HAM,2.0,MEDIUM,7.0
HAM,2.0,MEDIUM,8.0
HAM,2.0,MEDIUM,9.0
HAM,2.0,MEDIUM,10.0
HAM,2.0,MEDIUM,11.0
HAM,2.0,MEDIUM,12.0
HAM,2.0,MEDIUM,13.0
HAM,2.0,MEDIUM,14.0
HAM,2.0,MEDIUM,15.0
HAM,2.0,MEDIUM,16.0
HAM,2.0,MEDIUM,17.0
HAM,3.0,HARD,1.0
HAM,3.0,HARD,2.0
HAM,3.0,HARD,3.0
HAM,3.0,HARD,4.0
HAM,3.0,HARD,5.0
HAM,3.0,HARD,6.0
HAM,3.0,HARD,7.0
HAM,3.0,HARD,8.0
HAM,3.0,HARD,9.0
HAM,3.0,HARD,10.0
HAM,3.0,HARD,11.0
HAM,3.0,HARD,12.0
HAM,3.0,HARD,13.0
HAM,3.0,HARD,14.0
HAM,3.0,HARD,15.0
HAM,3.0,HARD,16.0
HAM,3.0,HARD,17.0
