Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,1.0,0 days 00:01:37.371000,1.0,MEDIUM,1.0,,,,0 days 00:00:42.344000,0 days 00:00:18.096000,281.0,300.0,263.0,298.0
LEC,2.0,0 days 00:01:34.121000,1.0,MEDIUM,2.0,,,0 days 00:00:34.083000,0 days 00:00:42.034000,0 days 00:00:18.004000,277.0,300.0,264.0,295.0
LEC,3.0,0 days 00:01:34.129000,1.0,MEDIUM,3.0,,,0 days 00:00:33.829000,0 days 00:00:42.223000,0 days 00:00:18.077000,275.0,300.0,266.0,291.0
LEC,4.0,0 days 00:01:33.954000,1.0,MEDIUM,4.0,,,0 days 00:00:33.762000,0 days 00:00:42.115000,0 days 00:00:18.077000,276.0,300.0,266.0,293.0
LEC,5.0,0 days 00:01:33.878000,1.0,MEDIUM,5.0,,,0 days 00:00:33.469000,0 days 00:00:42.300000,0 days 00:00:18.109000,277.0,300.0,265.0,295.0
LEC,6.0,0 days 00:01:33.879000,1.0,MEDIUM,6.0,,,0 days 00:00:33.430000,0 days 00:00:42.456000,0 days 00:00:17.993000,278.0,299.0,266.0,296.0
LEC,7.0,0 days 00:01:33.897000,1.0,MEDIUM,7.0,,,0 days 00:00:33.239000,0 days 00:00:42.608000,0 days 00:00:18.050000,277.0,300.0,266.0,294.0
LEC,8.0,0 days 00:01:33.787000,1.0,MEDIUM,8.0,,,0 days 00:00:33.188000,0 days 00:00:42.528000,0 days 00:00:18.071000,281.0,300.0,265.0,300.0
LEC,9.0,0 days 00:01:34.055000,1.0,MEDIUM,9.0,,,0 days 00:00:33.377000,0 days 00:00:42.519000,0 days 00:00:18.159000,276.0,299.0,264.0,293.0
LEC,10.0,0 days 00:01:33.827000,1.0,MEDIUM,10.0,,,0 days 00:00:33.180000,0 days 00:00:42.456000,0 days 00:00:18.191000,281.0,300.0,264.0,302.0
LEC,11.0,0 days 00:01:33.664000,1.0,MEDIUM,11.0,,,0 days 00:00:33.213000,0 days 00:00:42.341000,0 days 00:00:18.110000,277.0,300.0,265.0,295.0
LEC,12.0,0 days 00:01:33.777000,1.0,MEDIUM,12.0,,,0 days 00:00:33.162000,0 days 00:00:42.489000,0 days 00:00:18.126000,279.0,300.0,264.0,297.0
LEC,13.0,0 days 00:01:33.413000,1.0,MEDIUM,13.0,,,0 days 00:00:33.022000,0 days 00:00:42.373000,0 days 00:00:18.018000,278.0,300.0,264.0,301.0
LEC,14.0,0 days 00:01:33.699000,1.0,MEDIUM,14.0,,,0 days 00:00:33.119000,0 days 00:00:42.409000,0 days 00:00:18.171000,,300.0,264.0,296.0
LEC,15.0,0 days 00:01:33.475000,1.0,MEDIUM,15.0,,,0 days 00:00:32.946000,0 days 00:00:42.415000,0 days 00:00:18.114000,280.0,300.0,264.0,297.0
LEC,16.0,0 days 00:01:33.665000,1.0,MEDIUM,16.0,,,0 days 00:00:33.001000,0 days 00:00:42.498000,0 days 00:00:18.166000,279.0,300.0,264.0,298.0
