Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,1.0,0 days 00:01:24.481000,1.0,MEDIUM,1.0,,,,0 days 00:00:37.212000,0 days 00:00:21.765000,187.0,181.0,253.0,269.0
LEC,2.0,0 days 00:01:44.769000,1.0,MEDIUM,2.0,,,0 days 00:00:34.191000,0 days 00:00:44.995000,0 days 00:00:25.583000,111.0,174.0,157.0,236.0
LEC,3.0,0 days 00:01:48.805000,1.0,MEDIUM,3.0,,,0 days 00:00:31.019000,0 days 00:00:49.594000,0 days 00:00:28.192000,156.0,152.0,202.0,238.0
LEC,4.0,0 days 00:01:41.248000,1.0,MEDIUM,4.0,,,0 days 00:00:31.076000,0 days 00:00:48.358000,0 days 00:00:21.814000,148.0,99.0,262.0,239.0
LEC,5.0,0 days 00:01:18.801000,1.0,MEDIUM,5.0,,,0 days 00:00:20.597000,0 days 00:00:37.317000,0 days 00:00:20.887000,196.0,186.0,254.0,273.0
LEC,6.0,0 days 00:01:19.267000,1.0,MEDIUM,6.0,,,0 days 00:00:20.621000,0 days 00:00:37.804000,0 days 00:00:20.842000,195.0,184.0,254.0,271.0
LEC,7.0,0 days 00:01:18.656000,1.0,MEDIUM,7.0,,,0 days 00:00:20.633000,0 days 00:00:37.281000,0 days 00:00:20.742000,197.0,185.0,254.0,273.0
LEC,8.0,0 days 00:01:17.990000,1.0,MEDIUM,8.0,,,0 days 00:00:20.357000,0 days 00:00:36.978000,0 days 00:00:20.655000,196.0,189.0,254.0,273.0
LEC,9.0,0 days 00:01:21.212000,1.0,MEDIUM,9.0,,,0 days 00:00:20.351000,0 days 00:00:39.971000,0 days 00:00:20.890000,197.0,179.0,256.0,271.0
LEC,10.0,0 days 00:01:19.912000,1.0,MEDIUM,10.0,,,0 days 00:00:20.059000,0 days 00:00:38.874000,0 days 00:00:20.979000,203.0,188.0,263.0,264.0
LEC,11.0,0 days 00:01:19.890000,1.0,MEDIUM,11.0,,,0 days 00:00:20.125000,0 days 00:00:39.049000,0 days 00:00:20.716000,202.0,185.0,262.0,235.0
LEC,12.0,0 days 00:01:16.439000,1.0,MEDIUM,12.0,,,0 days 00:00:20.313000,0 days 00:00:35.908000,0 days 00:00:20.218000,198.0,191.0,257.0,275.0
LEC,13.0,0 days 00:01:16.207000,1.0,MEDIUM,13.0,,,0 days 00:00:19.961000,0 days 00:00:36.049000,0 days 00:00:20.197000,204.0,192.0,256.0,275.0
LEC,14.0,0 days 00:01:16.630000,1.0,MEDIUM,14.0,,,0 days 00:00:20.011000,0 days 00:00:36.164000,0 days 00:00:20.455000,203.0,190.0,255.0,275.0
LEC,15.0,0 days 00:01:16.042000,1.0,MEDIUM,15.0,,,0 days 00:00:19.885000,0 days 00:00:35.894000,0 days 00:00:20.263000,206.0,193.0,255.0,276.0
LEC,16.0,0 days 00:01:15.743000,1.0,MEDIUM,16.0,,,0 days 00:00:19.822000,0 days 00:00:35.824000,0 days 00:00:20.097000,,193.0,256.0,277.0
LEC,17.0,0 days 00:01:15.268000,1.0,MEDIUM,17.0,,,0 days 00:00:19.763000,0 days 00:00:35.624000,0 days 00:00:19.881000,205.0,194.0,257.0,276.0
LEC,18.0,0 days 00:01:14.821000,1.0,MEDIUM,18.0,,,0 days 00:00:19.559000,0 days 00:00:35.385000,0 days 00:00:19.877000,209.0,194.0,257.0,277.0
LEC,19.0,0 days 00:01:15.516000,1.0,MEDIUM,19.0,,,0 days 00:00:19.547000,0 days 00:00:35.916000,0 days 00:00:20.053000,207.0,190.0,258.0,278.0
LEC,20.0,0 days 00:01:14.807000,1.0,MEDIUM,20.0,,,0 days 00:00:19.437000,0 days 00:00:35.334000,0 days 00:00:20.036000,210.0,194.0,258.0,279.0
LEC,21.0,0 days 00:01:15.782000,1.0,MEDIUM,21.0,,,0 days 00:00:19.631000,0 days 00:00:36.113000,0 days 00:00:20.038000,197.0,191.0,258.0,279.0
LEC,22.0,0 days 00:01:32.412000,1.0,MEDIUM,22.0,,0 days 01:25:50.970000,0 days 00:00:19.607000,0 days 00:00:36.094000,0 days 00:00:36.711000,204.0,188.0,,280.0
LEC,23.0,0 days 00:01:20.099000,2.0,HARD,1.0,0 days 01:26:14.501000,,0 days 00:00:23.227000,0 days 00:00:36.554000,0 days 00:00:20.318000,192.0,188.0,256.0,276.0
LEC,24.0,0 days 00:01:16.020000,2.0,HARD,2.0,,,0 days 00:00:19.794000,0 days 00:00:36.084000,0 days 00:00:20.142000,204.0,192.0,257.0,276.0
LEC,25.0,0 days 00:01:14.618000,2.0,HARD,3.0,,,0 days 00:00:19.451000,0 days 00:00:35.251000,0 days 00:00:19.916000,211.0,194.0,257.0,277.0
LEC,26.0,0 days 00:01:14.714000,2.0,HARD,4.0,,,0 days 00:00:19.421000,0 days 00:00:35.402000,0 days 00:00:19.891000,210.0,194.0,257.0,278.0
LEC,27.0,0 days 00:01:14.819000,2.0,HARD,5.0,,,0 days 00:00:19.384000,0 days 00:00:35.463000,0 days 00:00:19.972000,209.0,193.0,258.0,278.0
LEC,28.0,0 days 00:01:14.849000,2.0,HARD,6.0,,,0 days 00:00:19.425000,0 days 00:00:35.519000,0 days 00:00:19.905000,,194.0,259.0,279.0
