Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2025-05-25 14:36:58.393,10738.0,266.0,7,100.0,False,0,car,0 days 00:00:00,0 days 02:29:58.007000,0.0
2025-05-25 14:36:58.593,10736.0,267.0,7,100.0,False,0,car,0 days 00:00:00.200000,0 days 02:29:58.207000,14.833333333333336
2025-05-25 14:36:58.753,10740.0,268.0,7,100.0,False,0,car,0 days 00:00:00.360000,0 days 02:29:58.367000,26.744444444444447
2025-05-25 14:36:58.953,10803.0,268.0,7,100.0,False,0,car,0 days 00:00:00.560000,0 days 02:29:58.567000,41.63333333333334
2025-05-25 14:36:59.113,10806.0,269.0,7,100.0,False,0,car,0 days 00:00:00.720000,0 days 02:29:58.727000,53.58888888888889
2025-05-25 14:36:59.313,10846.0,270.0,7,100.0,False,0,car,0 days 00:00:00.920000,0 days 02:29:58.927000,68.58888888888889
2025-05-25 14:37:00.033,9876.0,229.0,7,0.0,True,0,car,0 days 00:00:01.640000,0 days 02:29:59.647000,114.38888888888889
2025-05-25 14:37:00.193,8950.0,215.0,7,0.0,True,0,car,0 days 00:00:01.800000,0 days 02:29:59.807000,123.94444444444446
2025-05-25 14:37:00.393,8556.0,190.0,7,0.0,True,0,car,0 days 00:00:02,0 days 02:30:00.007000,134.5
2025-05-25 14:37:00.673,8865.0,163.0,5,0.0,True,0,car,0 days 00:00:02.280000,0 days 02:30:00.287000,147.17777777777778
2025-05-25 14:37:00.953,9636.0,135.0,5,0.0,True,0,car,0 days 00:00:02.560000,0 days 02:30:00.567000,157.67777777777778
2025-05-25 14:37:01.153,9211.0,128.0,4,0.0,True,0,car,0 days 00:00:02.760000,0 days 02:30:00.767000,164.7888888888889
2025-05-25 14:37:01.313,8990.0,121.0,3,0.0,True,0,car,0 days 00:00:02.920000,0 days 02:30:00.927000,170.16666666666669
2025-05-25 14:37:01.553,8675.0,118.0,3,0.0,False,0,car,0 days 00:00:03.160000,0 days 02:30:01.167000,178.03333333333336
2025-05-25 14:37:01.873,8603.0,115.0,3,21.0,False,0,car,0 days 00:00:03.480000,0 days 02:30:01.487000,188.2555555555556
2025-05-25 14:37:02.153,9036.0,115.0,3,39.0,False,0,car,0 days 00:00:03.760000,0 days 02:30:01.767000,197.20000000000002
2025-05-25 14:37:02.393,9165.0,116.0,3,60.0,False,0,car,0 days 00:00:04,0 days 02:30:02.007000,204.93333333333337
2025-05-25 14:37:02.793,9627.0,126.0,3,82.0,False,0,car,0 days 00:00:04.400000,0 days 02:30:02.407000,218.93333333333337
2025-05-25 14:37:03.033,10732.0,138.0,3,90.0,False,0,car,0 days 00:00:04.640000,0 days 02:30:02.647000,228.13333333333333
2025-05-25 14:37:03.314,11335.0,153.0,3,99.0,False,0,car,0 days 00:00:04.921000,0 days 02:30:02.928000,240.07583333333335
2025-05-25 14:37:03.634,10816.0,167.0,3,99.0,False,0,car,0 days 00:00:05.241000,0 days 02:30:03.248000,254.92027777777776
2025-05-25 14:37:03.834,10977.0,171.0,4,99.0,False,0,car,0 days 00:00:05.441000,0 days 02:30:03.448000,264.42027777777776
