Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:17:37.928000,PIA,81,0 days 00:03:05.558000,1.0,1.0,0 days 02:14:45.252000,,,0 days 00:01:22.953000,0 days 00:00:46.768000,,0 days 02:16:51.276000,0 days 02:17:37.931000,203.0,103.0,178.0,142.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 02:14:32.096000,2025-07-27 14:20:00.066,14,2.0,False,,False,False
0 days 02:20:32.417000,PIA,81,,2.0,1.0,,,0 days 00:00:46.259000,0 days 00:01:21.693000,0 days 00:00:46.497000,0 days 02:18:24.297000,0 days 02:19:46.019000,0 days 02:20:32.420000,228.0,92.0,179.0,171.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 02:17:37.928000,2025-07-27 14:23:05.898,4,2.0,False,,False,False
0 days 02:23:23.986000,PIA,81,,3.0,1.0,,,0 days 00:00:45.865000,0 days 00:01:20.585000,0 days 00:00:45.078000,0 days 02:21:18.511000,0 days 02:22:39.033000,0 days 02:23:23.989000,252.0,122.0,159.0,219.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 02:20:32.417000,2025-07-27 14:26:00.387,4,2.0,False,,False,False
0 days 02:26:25.966000,PIA,81,,4.0,1.0,,,0 days 00:00:45.056000,0 days 00:01:25.005000,0 days 00:00:51.999000,0 days 02:24:09.076000,0 days 02:25:34.128000,0 days 02:26:26.066000,185.0,73.0,214.0,190.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 02:23:23.986000,2025-07-27 14:28:51.956,41,2.0,False,,False,False
0 days 02:28:25.058000,PIA,81,0 days 00:01:59.092000,5.0,1.0,,,0 days 00:00:32.950000,0 days 00:00:54.450000,0 days 00:00:31.692000,0 days 02:26:58.919000,0 days 02:27:53.369000,0 days 02:28:25.061000,313.0,184.0,212.0,295.0,True,INTERMEDIATE,5.0,True,McLaren,0 days 02:26:25.966000,2025-07-27 14:31:53.936,1,1.0,False,,False,True
0 days 02:30:24.273000,PIA,81,0 days 00:01:59.215000,6.0,1.0,,,0 days 00:00:33.243000,0 days 00:00:54.495000,0 days 00:00:31.477000,0 days 02:28:58.304000,0 days 02:29:52.799000,0 days 02:30:24.276000,299.0,185.0,210.0,293.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 02:28:25.058000,2025-07-27 14:33:53.028,1,1.0,False,,False,True
0 days 02:32:24.041000,PIA,81,0 days 00:01:59.768000,7.0,1.0,,,0 days 00:00:33.264000,0 days 00:00:54.542000,0 days 00:00:31.962000,0 days 02:30:57.540000,0 days 02:31:52.082000,0 days 02:32:24.044000,300.0,175.0,209.0,294.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 02:30:24.273000,2025-07-27 14:35:52.243,1,1.0,False,,False,True
0 days 02:34:24.652000,PIA,81,0 days 00:02:00.611000,8.0,1.0,,,0 days 00:00:33.464000,0 days 00:00:55.068000,0 days 00:00:32.079000,0 days 02:32:57.508000,0 days 02:33:52.576000,0 days 02:34:24.655000,299.0,176.0,206.0,297.0,False,INTERMEDIATE,8.0,True,McLaren,0 days 02:32:24.041000,2025-07-27 14:37:52.011,1,1.0,False,,False,True
0 days 02:36:26.061000,PIA,81,0 days 00:02:01.409000,9.0,1.0,,,0 days 00:00:33.779000,0 days 00:00:55.551000,0 days 00:00:32.079000,0 days 02:34:58.434000,0 days 02:35:53.985000,0 days 02:36:26.064000,300.0,175.0,205.0,292.0,False,INTERMEDIATE,9.0,True,McLaren,0 days 02:34:24.652000,2025-07-27 14:39:52.622,1,1.0,False,,False,True
0 days 02:38:28.165000,PIA,81,0 days 00:02:02.104000,10.0,1.0,,,0 days 00:00:33.974000,0 days 00:00:56.147000,0 days 00:00:31.983000,0 days 02:37:00.038000,0 days 02:37:56.185000,0 days 02:38:28.168000,,177.0,205.0,290.0,False,INTERMEDIATE,10.0,True,McLaren,0 days 02:36:26.061000,2025-07-27 14:41:54.031,1,1.0,False,,False,True
0 days 02:40:29.631000,PIA,81,0 days 00:02:01.466000,11.0,1.0,,,0 days 00:00:33.844000,0 days 00:00:55.869000,0 days 00:00:31.753000,0 days 02:39:02.012000,0 days 02:39:57.881000,0 days 02:40:29.634000,,175.0,207.0,292.0,False,INTERMEDIATE,11.0,True,McLaren,0 days 02:38:28.165000,2025-07-27 14:43:56.135,1,1.0,False,,False,True
0 days 02:42:35.650000,PIA,81,0 days 00:02:06.019000,12.0,1.0,,0 days 02:42:31.751000,0 days 00:00:33.696000,0 days 00:00:55.638000,0 days 00:00:36.685000,0 days 02:41:03.330000,0 days 02:41:58.968000,0 days 02:42:35.653000,301.0,175.0,,296.0,False,INTERMEDIATE,12.0,True,McLaren,0 days 02:40:29.631000,2025-07-27 14:45:57.601,1,2.0,False,,False,False
0 days 02:44:45.974000,PIA,81,0 days 00:02:10.324000,13.0,2.0,0 days 02:42:55.576000,,0 days 00:00:48.957000,0 days 00:00:51.542000,0 days 00:00:29.825000,0 days 02:43:24.610000,0 days 02:44:16.152000,0 days 02:44:45.977000,307.0,200.0,219.0,282.0,False,MEDIUM,1.0,True,McLaren,0 days 02:42:35.650000,2025-07-27 14:48:03.620,1,2.0,False,,False,False
0 days 02:46:36.858000,PIA,81,0 days 00:01:50.884000,14.0,2.0,,,0 days 00:00:32.302000,0 days 00:00:49.450000,0 days 00:00:29.132000,0 days 02:45:18.279000,0 days 02:46:07.729000,0 days 02:46:36.861000,303.0,205.0,220.0,308.0,True,MEDIUM,2.0,True,McLaren,0 days 02:44:45.974000,2025-07-27 14:50:13.944,1,1.0,False,,False,True
0 days 02:48:25.947000,PIA,81,0 days 00:01:49.089000,15.0,2.0,,,0 days 00:00:31.751000,0 days 00:00:48.379000,0 days 00:00:28.959000,0 days 02:47:08.612000,0 days 02:47:56.991000,0 days 02:48:25.950000,306.0,208.0,220.0,310.0,True,MEDIUM,3.0,True,McLaren,0 days 02:46:36.858000,2025-07-27 14:52:04.828,1,1.0,False,,False,True
0 days 02:50:13.641000,PIA,81,0 days 00:01:47.694000,16.0,2.0,,,0 days 00:00:31.592000,0 days 00:00:47.156000,0 days 00:00:28.946000,0 days 02:48:57.542000,0 days 02:49:44.698000,0 days 02:50:13.644000,311.0,209.0,219.0,,True,MEDIUM,4.0,True,McLaren,0 days 02:48:25.947000,2025-07-27 14:53:53.917,1,1.0,False,,False,True
0 days 02:52:00.892000,PIA,81,0 days 00:01:47.251000,17.0,2.0,,,0 days 00:00:31.368000,0 days 00:00:46.954000,0 days 00:00:28.929000,0 days 02:50:45.012000,0 days 02:51:31.966000,0 days 02:52:00.895000,314.0,209.0,220.0,311.0,True,MEDIUM,5.0,True,McLaren,0 days 02:50:13.641000,2025-07-27 14:55:41.611,1,1.0,False,,False,True
0 days 02:53:47.924000,PIA,81,0 days 00:01:47.032000,18.0,2.0,,,0 days 00:00:31.409000,0 days 00:00:46.801000,0 days 00:00:28.822000,0 days 02:52:32.304000,0 days 02:53:19.105000,0 days 02:53:47.927000,313.0,209.0,219.0,,True,MEDIUM,6.0,True,McLaren,0 days 02:52:00.892000,2025-07-27 14:57:28.862,1,1.0,False,,False,True
0 days 02:55:34.686000,PIA,81,0 days 00:01:46.762000,19.0,2.0,,,0 days 00:00:31.360000,0 days 00:00:46.546000,0 days 00:00:28.856000,0 days 02:54:19.287000,0 days 02:55:05.833000,0 days 02:55:34.689000,312.0,209.0,219.0,,True,MEDIUM,7.0,True,McLaren,0 days 02:53:47.924000,2025-07-27 14:59:15.894,1,1.0,False,,False,True
0 days 02:57:21.476000,PIA,81,0 days 00:01:46.790000,20.0,2.0,,,0 days 00:00:31.261000,0 days 00:00:46.604000,0 days 00:00:28.925000,0 days 02:56:05.950000,0 days 02:56:52.554000,0 days 02:57:21.479000,,209.0,219.0,312.0,False,MEDIUM,8.0,True,McLaren,0 days 02:55:34.686000,2025-07-27 15:01:02.656,1,1.0,False,,False,True
0 days 02:59:07.962000,PIA,81,0 days 00:01:46.486000,21.0,2.0,,,0 days 00:00:31.152000,0 days 00:00:46.493000,0 days 00:00:28.841000,0 days 02:57:52.631000,0 days 02:58:39.124000,0 days 02:59:07.965000,314.0,210.0,221.0,,True,MEDIUM,9.0,True,McLaren,0 days 02:57:21.476000,2025-07-27 15:02:49.446,1,1.0,False,,False,True
0 days 03:00:54.262000,PIA,81,0 days 00:01:46.300000,22.0,2.0,,,0 days 00:00:31.092000,0 days 00:00:46.443000,0 days 00:00:28.765000,0 days 02:59:39.057000,0 days 03:00:25.500000,0 days 03:00:54.265000,316.0,208.0,220.0,313.0,True,MEDIUM,10.0,True,McLaren,0 days 02:59:07.962000,2025-07-27 15:04:35.932,1,1.0,False,,False,True
0 days 03:02:40.695000,PIA,81,0 days 00:01:46.433000,23.0,2.0,,,0 days 00:00:31.059000,0 days 00:00:46.551000,0 days 00:00:28.823000,0 days 03:01:25.324000,0 days 03:02:11.875000,0 days 03:02:40.698000,314.0,212.0,221.0,314.0,False,MEDIUM,11.0,True,McLaren,0 days 03:00:54.262000,2025-07-27 15:06:22.232,1,1.0,False,,False,True
0 days 03:04:27.169000,PIA,81,0 days 00:01:46.474000,24.0,2.0,,,0 days 00:00:31.198000,0 days 00:00:46.533000,0 days 00:00:28.743000,0 days 03:03:11.896000,0 days 03:03:58.429000,0 days 03:04:27.172000,315.0,210.0,220.0,313.0,False,MEDIUM,12.0,True,McLaren,0 days 03:02:40.695000,2025-07-27 15:08:08.665,1,1.0,False,,False,True
0 days 03:06:13.584000,PIA,81,0 days 00:01:46.415000,25.0,2.0,,,0 days 00:00:31.082000,0 days 00:00:46.422000,0 days 00:00:28.911000,0 days 03:04:58.254000,0 days 03:05:44.676000,0 days 03:06:13.587000,314.0,212.0,220.0,,False,MEDIUM,13.0,True,McLaren,0 days 03:04:27.169000,2025-07-27 15:09:55.139,1,1.0,False,,False,True
0 days 03:07:59.991000,PIA,81,0 days 00:01:46.407000,26.0,2.0,,,0 days 00:00:31.116000,0 days 00:00:46.462000,0 days 00:00:28.829000,0 days 03:06:44.703000,0 days 03:07:31.165000,0 days 03:07:59.994000,315.0,210.0,220.0,,False,MEDIUM,14.0,True,McLaren,0 days 03:06:13.584000,2025-07-27 15:11:41.554,1,1.0,False,,False,True
0 days 03:09:46.234000,PIA,81,0 days 00:01:46.243000,27.0,2.0,,,0 days 00:00:31.038000,0 days 00:00:46.443000,0 days 00:00:28.762000,0 days 03:08:31.032000,0 days 03:09:17.475000,0 days 03:09:46.237000,314.0,209.0,220.0,,True,MEDIUM,15.0,True,McLaren,0 days 03:07:59.991000,2025-07-27 15:13:27.961,1,1.0,False,,False,True
0 days 03:11:32.696000,PIA,81,0 days 00:01:46.462000,28.0,2.0,,,0 days 00:00:31.080000,0 days 00:00:46.626000,0 days 00:00:28.756000,0 days 03:10:17.317000,0 days 03:11:03.943000,0 days 03:11:32.699000,315.0,212.0,220.0,,False,MEDIUM,16.0,True,McLaren,0 days 03:09:46.234000,2025-07-27 15:15:14.204,1,1.0,False,,False,True
0 days 03:13:18.867000,PIA,81,0 days 00:01:46.171000,29.0,2.0,,,0 days 00:00:31.063000,0 days 00:00:46.473000,0 days 00:00:28.635000,0 days 03:12:03.762000,0 days 03:12:50.235000,0 days 03:13:18.870000,316.0,210.0,220.0,314.0,True,MEDIUM,17.0,True,McLaren,0 days 03:11:32.696000,2025-07-27 15:17:00.666,1,1.0,False,,False,True
0 days 03:15:05.072000,PIA,81,0 days 00:01:46.205000,30.0,2.0,,,0 days 00:00:31.060000,0 days 00:00:46.490000,0 days 00:00:28.655000,0 days 03:13:49.930000,0 days 03:14:36.420000,0 days 03:15:05.075000,315.0,210.0,220.0,,False,MEDIUM,18.0,True,McLaren,0 days 03:13:18.867000,2025-07-27 15:18:46.837,1,1.0,False,,False,True
0 days 03:16:51.314000,PIA,81,0 days 00:01:46.242000,31.0,2.0,,,0 days 00:00:30.989000,0 days 00:00:46.497000,0 days 00:00:28.756000,0 days 03:15:36.064000,0 days 03:16:22.561000,0 days 03:16:51.317000,317.0,210.0,220.0,315.0,False,MEDIUM,19.0,True,McLaren,0 days 03:15:05.072000,2025-07-27 15:20:33.042,1,1.0,False,,False,True
0 days 03:18:37.672000,PIA,81,0 days 00:01:46.358000,32.0,2.0,,,0 days 00:00:31.018000,0 days 00:00:46.633000,0 days 00:00:28.707000,0 days 03:17:22.335000,0 days 03:18:08.968000,0 days 03:18:37.675000,316.0,207.0,220.0,313.0,False,MEDIUM,20.0,True,McLaren,0 days 03:16:51.314000,2025-07-27 15:22:19.284,1,1.0,False,,False,True
0 days 03:20:24.335000,PIA,81,0 days 00:01:46.663000,33.0,2.0,,,0 days 00:00:31.064000,0 days 00:00:46.903000,0 days 00:00:28.696000,0 days 03:19:08.739000,0 days 03:19:55.642000,0 days 03:20:24.338000,,207.0,221.0,,False,MEDIUM,21.0,True,McLaren,0 days 03:18:37.672000,2025-07-27 15:24:05.642,1,1.0,False,,False,True
0 days 03:22:10.693000,PIA,81,0 days 00:01:46.358000,34.0,2.0,,,0 days 00:00:31.027000,0 days 00:00:46.627000,0 days 00:00:28.704000,0 days 03:20:55.365000,0 days 03:21:41.992000,0 days 03:22:10.696000,,209.0,220.0,314.0,False,MEDIUM,22.0,True,McLaren,0 days 03:20:24.335000,2025-07-27 15:25:52.305,1,1.0,False,,False,True
0 days 03:23:57.137000,PIA,81,0 days 00:01:46.444000,35.0,2.0,,,0 days 00:00:31.032000,0 days 00:00:46.788000,0 days 00:00:28.624000,0 days 03:22:41.728000,0 days 03:23:28.516000,0 days 03:23:57.140000,,209.0,221.0,,False,MEDIUM,23.0,True,McLaren,0 days 03:22:10.693000,2025-07-27 15:27:38.663,1,1.0,False,,False,True
0 days 03:25:43.714000,PIA,81,0 days 00:01:46.577000,36.0,2.0,,,0 days 00:00:31.093000,0 days 00:00:46.907000,0 days 00:00:28.577000,0 days 03:24:28.233000,0 days 03:25:15.140000,0 days 03:25:43.717000,317.0,210.0,221.0,313.0,False,MEDIUM,24.0,True,McLaren,0 days 03:23:57.137000,2025-07-27 15:29:25.107,1,1.0,False,,False,True
0 days 03:27:30.197000,PIA,81,0 days 00:01:46.483000,37.0,2.0,,,0 days 00:00:31.029000,0 days 00:00:46.706000,0 days 00:00:28.748000,0 days 03:26:14.746000,0 days 03:27:01.452000,0 days 03:27:30.200000,316.0,209.0,221.0,315.0,False,MEDIUM,25.0,True,McLaren,0 days 03:25:43.714000,2025-07-27 15:31:11.684,1,1.0,False,,False,True
0 days 03:29:16.544000,PIA,81,0 days 00:01:46.347000,38.0,2.0,,,0 days 00:00:31.003000,0 days 00:00:46.740000,0 days 00:00:28.604000,0 days 03:28:01.203000,0 days 03:28:47.943000,0 days 03:29:16.547000,318.0,210.0,221.0,,False,MEDIUM,26.0,True,McLaren,0 days 03:27:30.197000,2025-07-27 15:32:58.167,1,1.0,False,,False,True
0 days 03:31:03.042000,PIA,81,0 days 00:01:46.498000,39.0,2.0,,,0 days 00:00:30.963000,0 days 00:00:46.870000,0 days 00:00:28.665000,0 days 03:29:47.510000,0 days 03:30:34.380000,0 days 03:31:03.045000,319.0,211.0,221.0,316.0,False,MEDIUM,27.0,True,McLaren,0 days 03:29:16.544000,2025-07-27 15:34:44.514,1,1.0,False,,False,True
0 days 03:32:49.368000,PIA,81,0 days 00:01:46.326000,40.0,2.0,,,0 days 00:00:31.054000,0 days 00:00:46.610000,0 days 00:00:28.662000,0 days 03:31:34.099000,0 days 03:32:20.709000,0 days 03:32:49.371000,317.0,209.0,222.0,314.0,False,MEDIUM,28.0,True,McLaren,0 days 03:31:03.042000,2025-07-27 15:36:31.012,1,1.0,False,,False,True
0 days 03:34:35.512000,PIA,81,0 days 00:01:46.144000,41.0,2.0,,,0 days 00:00:31.029000,0 days 00:00:46.508000,0 days 00:00:28.607000,0 days 03:33:20.400000,0 days 03:34:06.908000,0 days 03:34:35.515000,316.0,212.0,222.0,315.0,True,MEDIUM,29.0,True,McLaren,0 days 03:32:49.368000,2025-07-27 15:38:17.338,1,1.0,False,,False,True
0 days 03:36:21.445000,PIA,81,0 days 00:01:45.933000,42.0,2.0,,,0 days 00:00:30.986000,0 days 00:00:46.433000,0 days 00:00:28.514000,0 days 03:35:06.501000,0 days 03:35:52.934000,0 days 03:36:21.448000,317.0,212.0,221.0,,True,MEDIUM,30.0,True,McLaren,0 days 03:34:35.512000,2025-07-27 15:40:03.482,1,1.0,False,,False,True
0 days 03:38:07.151000,PIA,81,0 days 00:01:45.706000,43.0,2.0,,,0 days 00:00:30.905000,0 days 00:00:46.280000,0 days 00:00:28.521000,0 days 03:36:52.353000,0 days 03:37:38.633000,0 days 03:38:07.154000,320.0,212.0,222.0,,True,MEDIUM,31.0,True,McLaren,0 days 03:36:21.445000,2025-07-27 15:41:49.415,1,1.0,False,,False,True
0 days 03:39:54.972000,PIA,81,0 days 00:01:47.821000,44.0,2.0,,,0 days 00:00:31.082000,0 days 00:00:47.123000,0 days 00:00:29.616000,0 days 03:38:38.236000,0 days 03:39:25.359000,0 days 03:39:54.975000,319.0,209.0,198.0,,False,MEDIUM,32.0,True,McLaren,0 days 03:38:07.151000,2025-07-27 15:43:35.121,1,1.0,False,,False,True
0 days 02:17:37.017000,NOR,4,0 days 00:03:04.619000,1.0,1.0,0 days 02:14:41.752000,,,0 days 00:01:24.158000,0 days 00:00:46.473000,,0 days 02:16:50.636000,0 days 02:17:37.056000,178.0,103.0,177.0,139.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 02:14:32.096000,2025-07-27 14:20:00.066,14,1.0,False,,False,False
0 days 02:20:30.610000,NOR,4,,2.0,1.0,,,0 days 00:00:46.047000,0 days 00:01:21.935000,0 days 00:00:45.599000,0 days 02:18:23.250000,0 days 02:19:45.050000,0 days 02:20:30.803000,195.0,112.0,171.0,128.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 02:17:37.017000,2025-07-27 14:23:04.987,4,1.0,False,,False,False
0 days 02:23:23.137000,NOR,4,,3.0,1.0,,,0 days 00:00:46.021000,0 days 00:01:21.143000,0 days 00:00:45.314000,0 days 02:21:16.744000,0 days 02:22:37.894000,0 days 02:23:23.176000,247.0,129.0,179.0,189.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 02:20:30.610000,2025-07-27 14:25:58.580,4,1.0,False,,False,False
0 days 02:26:25.591000,NOR,4,,4.0,1.0,,,0 days 00:00:45.206000,0 days 00:01:25.244000,0 days 00:00:52.117000,0 days 02:24:08.529000,0 days 02:25:33.545000,0 days 02:26:25.764000,204.0,83.0,208.0,156.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 02:23:23.137000,2025-07-27 14:28:51.107,41,1.0,False,,False,False
0 days 02:28:26.159000,NOR,4,0 days 00:02:00.568000,5.0,1.0,,,0 days 00:00:33.490000,0 days 00:00:55.624000,0 days 00:00:31.454000,0 days 02:26:59.120000,0 days 02:27:54.744000,0 days 02:28:26.198000,302.0,188.0,211.0,292.0,True,INTERMEDIATE,5.0,True,McLaren,0 days 02:26:25.591000,2025-07-27 14:31:53.561,1,2.0,False,,False,True
0 days 02:30:25.295000,NOR,4,0 days 00:01:59.136000,6.0,1.0,,,0 days 00:00:33.123000,0 days 00:00:54.396000,0 days 00:00:31.617000,0 days 02:28:59.321000,0 days 02:29:53.717000,0 days 02:30:25.334000,298.0,179.0,209.0,296.0,True,INTERMEDIATE,6.0,True,McLaren,0 days 02:28:26.159000,2025-07-27 14:33:54.129,1,2.0,False,,False,True
0 days 02:32:25.154000,NOR,4,0 days 00:01:59.859000,7.0,1.0,,,0 days 00:00:33.245000,0 days 00:00:54.894000,0 days 00:00:31.720000,0 days 02:30:58.579000,0 days 02:31:53.473000,0 days 02:32:25.193000,295.0,167.0,210.0,300.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 02:30:25.295000,2025-07-27 14:35:53.265,1,2.0,False,,False,True
