Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:57.418000,NOR,4,0 days 00:01:48.196000,1.0,1.0,,,,0 days 00:00:42.322000,0 days 00:00:29.525000,,0 days 00:57:28.122000,0 days 00:57:57.555000,295.0,231.0,214.0,299.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:56:09.003000,2025-07-06 14:03:49.616,12,3.0,False,,False,False
0 days 01:00:13.663000,NOR,4,0 days 00:02:16.245000,2.0,1.0,,,0 days 00:00:49.795000,0 days 00:00:49.624000,0 days 00:00:36.826000,0 days 00:58:47.237000,0 days 00:59:36.861000,0 days 01:00:13.687000,138.0,226.0,135.0,241.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:57:57.418000,2025-07-06 14:05:38.031,26,3.0,False,,False,False
0 days 01:02:31.106000,NOR,4,0 days 00:02:17.443000,3.0,1.0,,,0 days 00:00:50.956000,0 days 00:00:48.037000,0 days 00:00:38.450000,0 days 01:01:04.643000,0 days 01:01:52.680000,0 days 01:02:31.130000,114.0,168.0,113.0,145.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 01:00:13.663000,2025-07-06 14:07:54.276,6,3.0,False,,False,False
0 days 01:04:16.857000,NOR,4,0 days 00:01:45.751000,4.0,1.0,,,0 days 00:00:35.715000,0 days 00:00:41.225000,0 days 00:00:28.811000,0 days 01:03:06.845000,0 days 01:03:48.070000,0 days 01:04:16.881000,295.0,240.0,221.0,303.0,True,INTERMEDIATE,4.0,True,McLaren,0 days 01:02:31.106000,2025-07-06 14:10:11.719,6712,3.0,False,,False,False
0 days 01:06:01.890000,NOR,4,0 days 00:01:45.033000,5.0,1.0,,,0 days 00:00:32.084000,0 days 00:00:42.984000,0 days 00:00:29.965000,0 days 01:04:48.965000,0 days 01:05:31.949000,0 days 01:06:01.914000,297.0,237.0,127.0,304.0,False,INTERMEDIATE,5.0,True,McLaren,0 days 01:04:16.857000,2025-07-06 14:11:57.470,126,3.0,True,TRACK LIMITS AT TURN 6 LAP 5 ,False,False
0 days 01:08:21.123000,NOR,4,0 days 00:02:19.233000,6.0,1.0,,,0 days 00:00:46.769000,0 days 00:00:56.955000,0 days 00:00:35.509000,0 days 01:06:48.683000,0 days 01:07:45.638000,0 days 01:08:21.147000,237.0,201.0,133.0,275.0,False,INTERMEDIATE,6.0,True,McLaren,0 days 01:06:01.890000,2025-07-06 14:13:42.503,6,3.0,False,,False,False
0 days 01:10:24.347000,NOR,4,0 days 00:02:03.224000,7.0,1.0,,,0 days 00:00:44.196000,0 days 00:00:49.317000,0 days 00:00:29.711000,0 days 01:09:05.343000,0 days 01:09:54.660000,0 days 01:10:24.371000,264.0,234.0,217.0,305.0,False,INTERMEDIATE,7.0,True,McLaren,0 days 01:08:21.123000,2025-07-06 14:16:01.736,671,3.0,False,,False,False
0 days 01:12:09.216000,NOR,4,0 days 00:01:44.869000,8.0,1.0,,,0 days 00:00:32.657000,0 days 00:00:42.786000,0 days 00:00:29.426000,0 days 01:10:57.028000,0 days 01:11:39.814000,0 days 01:12:09.240000,296.0,238.0,205.0,307.0,True,INTERMEDIATE,8.0,True,McLaren,0 days 01:10:24.347000,2025-07-06 14:18:04.960,1,3.0,False,,False,True
0 days 01:13:54.811000,NOR,4,0 days 00:01:45.595000,9.0,1.0,,,0 days 00:00:32.526000,0 days 00:00:43.325000,0 days 00:00:29.744000,0 days 01:12:41.766000,0 days 01:13:25.091000,0 days 01:13:54.835000,295.0,236.0,214.0,303.0,False,INTERMEDIATE,9.0,True,McLaren,0 days 01:12:09.216000,2025-07-06 14:19:49.829,1,3.0,False,,False,True
0 days 01:15:40.668000,NOR,4,0 days 00:01:45.857000,10.0,1.0,,,0 days 00:00:32.396000,0 days 00:00:43.819000,0 days 00:00:29.642000,0 days 01:14:27.231000,0 days 01:15:11.050000,0 days 01:15:40.692000,,237.0,213.0,307.0,False,INTERMEDIATE,10.0,True,McLaren,0 days 01:13:54.811000,2025-07-06 14:21:35.424,1,3.0,False,,False,True
