Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:42.668000,NOR,4,0 days 00:01:35.761000,1.0,1.0,,,,0 days 00:00:42.210000,0 days 00:00:18.262000,,0 days 00:57:24.611000,0 days 00:57:42.767000,281.0,296.0,262.0,291.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:06.651000,2025-04-06 05:03:47.081,1,2.0,False,,False,False
0 days 00:59:16.615000,NOR,4,0 days 00:01:33.947000,2.0,1.0,,,0 days 00:00:33.809000,0 days 00:00:42.049000,0 days 00:00:18.089000,0 days 00:58:16.522000,0 days 00:58:58.571000,0 days 00:59:16.660000,,298.0,266.0,295.0,True,MEDIUM,2.0,True,McLaren,0 days 00:57:42.668000,2025-04-06 05:05:23.098,1,2.0,False,,False,True
0 days 01:00:50.404000,NOR,4,0 days 00:01:33.789000,3.0,1.0,,,0 days 00:00:33.515000,0 days 00:00:42.096000,0 days 00:00:18.178000,0 days 00:59:50.175000,0 days 01:00:32.271000,0 days 01:00:50.449000,282.0,298.0,263.0,293.0,True,MEDIUM,3.0,True,McLaren,0 days 00:59:16.615000,2025-04-06 05:06:57.045,1,2.0,False,,False,True
0 days 01:02:24.242000,NOR,4,0 days 00:01:33.838000,4.0,1.0,,,0 days 00:00:33.576000,0 days 00:00:42.123000,0 days 00:00:18.139000,0 days 01:01:24.025000,0 days 01:02:06.148000,0 days 01:02:24.287000,278.0,298.0,264.0,298.0,False,MEDIUM,4.0,True,McLaren,0 days 01:00:50.404000,2025-04-06 05:08:30.834,1,2.0,False,,False,True
0 days 01:03:58.189000,NOR,4,0 days 00:01:33.947000,5.0,1.0,,,0 days 00:00:33.620000,0 days 00:00:42.142000,0 days 00:00:18.185000,0 days 01:02:57.907000,0 days 01:03:40.049000,0 days 01:03:58.234000,,299.0,263.0,295.0,False,MEDIUM,5.0,True,McLaren,0 days 01:02:24.242000,2025-04-06 05:10:04.672,1,2.0,False,,False,True
0 days 01:05:32.125000,NOR,4,0 days 00:01:33.936000,6.0,1.0,,,0 days 00:00:33.573000,0 days 00:00:42.304000,0 days 00:00:18.059000,0 days 01:04:31.807000,0 days 01:05:14.111000,0 days 01:05:32.170000,280.0,298.0,263.0,298.0,False,MEDIUM,6.0,True,McLaren,0 days 01:03:58.189000,2025-04-06 05:11:38.619,1,2.0,False,,False,True
0 days 01:07:05.945000,NOR,4,0 days 00:01:33.820000,7.0,1.0,,,0 days 00:00:33.467000,0 days 00:00:42.271000,0 days 00:00:18.082000,0 days 01:06:05.637000,0 days 01:06:47.908000,0 days 01:07:05.990000,279.0,297.0,263.0,298.0,False,MEDIUM,7.0,True,McLaren,0 days 01:05:32.125000,2025-04-06 05:13:12.555,1,2.0,False,,False,True
0 days 01:08:39.533000,NOR,4,0 days 00:01:33.588000,8.0,1.0,,,0 days 00:00:33.149000,0 days 00:00:42.371000,0 days 00:00:18.068000,0 days 01:07:39.139000,0 days 01:08:21.510000,0 days 01:08:39.578000,282.0,297.0,263.0,298.0,True,MEDIUM,8.0,True,McLaren,0 days 01:07:05.945000,2025-04-06 05:14:46.375,1,2.0,False,,False,True
0 days 01:10:13.045000,NOR,4,0 days 00:01:33.512000,9.0,1.0,,,0 days 00:00:33.093000,0 days 00:00:42.303000,0 days 00:00:18.116000,0 days 01:09:12.671000,0 days 01:09:54.974000,0 days 01:10:13.090000,280.0,298.0,263.0,298.0,True,MEDIUM,9.0,True,McLaren,0 days 01:08:39.533000,2025-04-06 05:16:19.963,1,2.0,False,,False,True
0 days 01:11:46.693000,NOR,4,0 days 00:01:33.648000,10.0,1.0,,,0 days 00:00:33.011000,0 days 00:00:42.462000,0 days 00:00:18.175000,0 days 01:10:46.101000,0 days 01:11:28.563000,0 days 01:11:46.738000,,298.0,262.0,299.0,False,MEDIUM,10.0,True,McLaren,0 days 01:10:13.045000,2025-04-06 05:17:53.475,1,2.0,False,,False,True
0 days 01:13:20.267000,NOR,4,0 days 00:01:33.574000,11.0,1.0,,,0 days 00:00:32.991000,0 days 00:00:42.409000,0 days 00:00:18.174000,0 days 01:12:19.729000,0 days 01:13:02.138000,0 days 01:13:20.312000,278.0,298.0,263.0,299.0,False,MEDIUM,11.0,True,McLaren,0 days 01:11:46.693000,2025-04-06 05:19:27.123,1,2.0,False,,False,True
0 days 01:14:53.732000,NOR,4,0 days 00:01:33.465000,12.0,1.0,,,0 days 00:00:32.772000,0 days 00:00:42.461000,0 days 00:00:18.232000,0 days 01:13:53.084000,0 days 01:14:35.545000,0 days 01:14:53.777000,280.0,298.0,263.0,299.0,True,MEDIUM,12.0,True,McLaren,0 days 01:13:20.267000,2025-04-06 05:21:00.697,1,2.0,False,,False,True
0 days 01:16:27.198000,NOR,4,0 days 00:01:33.466000,13.0,1.0,,,0 days 00:00:32.865000,0 days 00:00:42.452000,0 days 00:00:18.149000,0 days 01:15:26.642000,0 days 01:16:09.094000,0 days 01:16:27.243000,,298.0,264.0,299.0,False,MEDIUM,13.0,True,McLaren,0 days 01:14:53.732000,2025-04-06 05:22:34.162,1,2.0,False,,False,True
0 days 01:18:00.711000,NOR,4,0 days 00:01:33.513000,14.0,1.0,,,0 days 00:00:32.836000,0 days 00:00:42.571000,0 days 00:00:18.106000,0 days 01:17:00.079000,0 days 01:17:42.650000,0 days 01:18:00.756000,,298.0,263.0,299.0,False,MEDIUM,14.0,True,McLaren,0 days 01:16:27.198000,2025-04-06 05:24:07.628,1,2.0,False,,False,True
