Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:32.410000,NOR,4,0 days 00:01:23.340000,1.0,1.0,,,,0 days 00:00:37.264000,0 days 00:00:21.219000,,0 days 00:57:11.238000,0 days 00:57:32.541000,189.0,176.0,252.0,267.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:08.809000,2025-05-25 13:03:09.195,12,1.0,False,,False,False
0 days 00:59:17.044000,NOR,4,0 days 00:01:44.634000,2.0,1.0,,,0 days 00:00:34.072000,0 days 00:00:44.185000,0 days 00:00:26.377000,0 days 00:58:06.529000,0 days 00:58:50.714000,0 days 00:59:17.091000,97.0,144.0,136.0,252.0,True,MEDIUM,2.0,True,McLaren,0 days 00:57:32.410000,2025-05-25 13:04:32.796,16,1.0,False,,False,False
0 days 01:01:06.059000,NOR,4,0 days 00:01:49.015000,3.0,1.0,,,0 days 00:00:30.118000,0 days 00:00:49.715000,0 days 00:00:29.182000,0 days 00:59:47.209000,0 days 01:00:36.924000,0 days 01:01:06.106000,147.0,173.0,213.0,250.0,False,MEDIUM,3.0,True,McLaren,0 days 00:59:17.044000,2025-05-25 13:06:17.430,6,1.0,False,,False,False
0 days 01:02:47.623000,NOR,4,0 days 00:01:41.564000,4.0,1.0,,,0 days 00:00:31.321000,0 days 00:00:47.988000,0 days 00:00:22.255000,0 days 01:01:37.427000,0 days 01:02:25.415000,0 days 01:02:47.670000,141.0,121.0,253.0,248.0,True,MEDIUM,4.0,True,McLaren,0 days 01:01:06.059000,2025-05-25 13:08:06.445,671,1.0,False,,False,False
0 days 01:04:05.673000,NOR,4,0 days 00:01:18.050000,5.0,1.0,,,0 days 00:00:20.559000,0 days 00:00:36.559000,0 days 00:00:20.932000,0 days 01:03:08.229000,0 days 01:03:44.788000,0 days 01:04:05.720000,200.0,180.0,254.0,272.0,True,MEDIUM,5.0,True,McLaren,0 days 01:02:47.623000,2025-05-25 13:09:48.009,1,1.0,False,,False,True
0 days 01:05:24.845000,NOR,4,0 days 00:01:19.172000,6.0,1.0,,,0 days 00:00:20.643000,0 days 00:00:37.367000,0 days 00:00:21.162000,0 days 01:04:26.363000,0 days 01:05:03.730000,0 days 01:05:24.892000,,180.0,254.0,266.0,False,MEDIUM,6.0,True,McLaren,0 days 01:04:05.673000,2025-05-25 13:11:06.059,1,1.0,False,,False,True
0 days 01:06:43.315000,NOR,4,0 days 00:01:18.470000,7.0,1.0,,,0 days 00:00:20.536000,0 days 00:00:37.171000,0 days 00:00:20.763000,0 days 01:05:45.428000,0 days 01:06:22.599000,0 days 01:06:43.362000,196.0,189.0,254.0,273.0,False,MEDIUM,7.0,True,McLaren,0 days 01:05:24.845000,2025-05-25 13:12:25.231,1,1.0,False,,False,True
0 days 01:08:00.941000,NOR,4,0 days 00:01:17.626000,8.0,1.0,,,0 days 00:00:20.324000,0 days 00:00:36.551000,0 days 00:00:20.751000,0 days 01:07:03.686000,0 days 01:07:40.237000,0 days 01:08:00.988000,198.0,188.0,255.0,272.0,True,MEDIUM,8.0,True,McLaren,0 days 01:06:43.315000,2025-05-25 13:13:43.701,12,1.0,False,,False,True
0 days 01:09:23.089000,NOR,4,0 days 00:01:22.148000,9.0,1.0,,,0 days 00:00:20.524000,0 days 00:00:40.374000,0 days 00:00:21.250000,0 days 01:08:21.512000,0 days 01:09:01.886000,0 days 01:09:23.136000,200.0,187.0,255.0,263.0,False,MEDIUM,9.0,True,McLaren,0 days 01:08:00.941000,2025-05-25 13:15:01.327,2,1.0,False,,False,True
0 days 01:10:43.474000,NOR,4,0 days 00:01:20.385000,10.0,1.0,,,0 days 00:00:20.486000,0 days 00:00:38.781000,0 days 00:00:21.118000,0 days 01:09:43.622000,0 days 01:10:22.403000,0 days 01:10:43.521000,198.0,183.0,257.0,271.0,False,MEDIUM,10.0,True,McLaren,0 days 01:09:23.089000,2025-05-25 13:16:23.475,2,1.0,False,,False,True
