Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:17:46.120000,RUS,63,0 days 00:03:13.707000,1.0,1.0,0 days 02:14:59.051000,,,0 days 00:01:23.647000,0 days 00:00:47.587000,,0 days 02:16:58.676000,0 days 02:17:46.197000,254.0,65.0,193.0,233.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 02:14:32.096000,2025-07-27 14:20:00.066,14,6.0,False,,False,False
0 days 02:20:38.701000,RUS,63,,2.0,1.0,,,0 days 00:00:46.149000,0 days 00:01:17.730000,0 days 00:00:48.705000,0 days 02:18:32.343000,0 days 02:19:50.113000,0 days 02:20:38.826000,247.0,146.0,182.0,236.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 02:17:46.120000,2025-07-27 14:23:14.090,4,6.0,False,,False,False
0 days 02:23:30.458000,RUS,63,,3.0,1.0,,,0 days 00:00:43.559000,0 days 00:01:21.353000,0 days 00:00:46.916000,0 days 02:21:22.511000,0 days 02:22:43.619000,0 days 02:23:30.629000,246.0,85.0,196.0,249.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 02:20:38.701000,2025-07-27 14:26:06.671,4,6.0,False,,False,False
0 days 02:26:27.909000,RUS,63,,4.0,1.0,,,0 days 00:00:46.058000,0 days 00:01:20.911000,0 days 00:00:50.524000,0 days 02:24:16.670000,0 days 02:25:37.618000,0 days 02:26:28.134000,226.0,88.0,209.0,263.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 02:23:30.458000,2025-07-27 14:28:58.428,41,6.0,False,,False,False
0 days 02:28:29.379000,RUS,63,0 days 00:02:01.470000,5.0,1.0,,,0 days 00:00:33.384000,0 days 00:00:56.526000,0 days 00:00:31.560000,0 days 02:27:01.370000,0 days 02:27:57.896000,0 days 02:28:29.456000,303.0,184.0,212.0,293.0,True,INTERMEDIATE,5.0,True,Mercedes,0 days 02:26:27.909000,2025-07-27 14:31:55.879,1,6.0,False,,False,True
0 days 02:30:29.270000,RUS,63,0 days 00:01:59.891000,6.0,1.0,,,0 days 00:00:32.626000,0 days 00:00:55.726000,0 days 00:00:31.539000,0 days 02:29:02.082000,0 days 02:29:57.808000,0 days 02:30:29.347000,324.0,182.0,210.0,295.0,True,INTERMEDIATE,6.0,True,Mercedes,0 days 02:28:29.379000,2025-07-27 14:33:57.349,1,5.0,False,,False,True
0 days 02:32:29.688000,RUS,63,0 days 00:02:00.418000,7.0,1.0,,,0 days 00:00:32.922000,0 days 00:00:55.859000,0 days 00:00:31.637000,0 days 02:31:02.269000,0 days 02:31:58.128000,0 days 02:32:29.765000,315.0,181.0,206.0,302.0,False,INTERMEDIATE,7.0,True,Mercedes,0 days 02:30:29.270000,2025-07-27 14:35:57.240,1,5.0,False,,False,True
0 days 02:34:32.160000,RUS,63,0 days 00:02:02.472000,8.0,1.0,,,0 days 00:00:33.157000,0 days 00:00:57.256000,0 days 00:00:32.059000,0 days 02:33:02.922000,0 days 02:34:00.178000,0 days 02:34:32.237000,309.0,171.0,205.0,303.0,False,INTERMEDIATE,8.0,True,Mercedes,0 days 02:32:29.688000,2025-07-27 14:37:57.658,1,5.0,False,,False,True
0 days 02:36:36.052000,RUS,63,0 days 00:02:03.892000,9.0,1.0,,,0 days 00:00:33.565000,0 days 00:00:57.989000,0 days 00:00:32.338000,0 days 02:35:05.802000,0 days 02:36:03.791000,0 days 02:36:36.129000,310.0,166.0,203.0,295.0,False,INTERMEDIATE,9.0,True,Mercedes,0 days 02:34:32.160000,2025-07-27 14:40:00.130,1,5.0,False,,False,True
0 days 02:38:40.257000,RUS,63,0 days 00:02:04.205000,10.0,1.0,,,0 days 00:00:33.940000,0 days 00:00:58.080000,0 days 00:00:32.185000,0 days 02:37:10.069000,0 days 02:38:08.149000,0 days 02:38:40.334000,312.0,169.0,203.0,290.0,False,INTERMEDIATE,10.0,True,Mercedes,0 days 02:36:36.052000,2025-07-27 14:42:04.022,1,5.0,False,,False,True
0 days 02:40:43.643000,RUS,63,0 days 00:02:03.386000,11.0,1.0,,,0 days 00:00:33.817000,0 days 00:00:57.677000,0 days 00:00:31.892000,0 days 02:39:14.151000,0 days 02:40:11.828000,0 days 02:40:43.720000,315.0,172.0,205.0,287.0,False,INTERMEDIATE,11.0,True,Mercedes,0 days 02:38:40.257000,2025-07-27 14:44:08.227,1,5.0,False,,False,True
0 days 02:42:50.380000,RUS,63,0 days 00:02:06.737000,12.0,1.0,,0 days 02:42:46.609000,0 days 00:00:33.626000,0 days 00:00:56.855000,0 days 00:00:36.256000,0 days 02:41:17.346000,0 days 02:42:14.201000,0 days 02:42:50.457000,322.0,174.0,,293.0,False,INTERMEDIATE,12.0,True,Mercedes,0 days 02:40:43.643000,2025-07-27 14:46:11.613,1,5.0,False,,False,False
0 days 02:45:03.796000,RUS,63,0 days 00:02:13.416000,13.0,2.0,0 days 02:43:10.342000,,0 days 00:00:49.114000,0 days 00:00:53.604000,0 days 00:00:30.698000,0 days 02:43:39.571000,0 days 02:44:33.175000,0 days 02:45:03.873000,303.0,189.0,220.0,273.0,False,MEDIUM,1.0,True,Mercedes,0 days 02:42:50.380000,2025-07-27 14:48:18.350,1,7.0,False,,False,False
0 days 02:46:54.155000,RUS,63,0 days 00:01:50.359000,14.0,2.0,,,0 days 00:00:31.880000,0 days 00:00:49.734000,0 days 00:00:28.745000,0 days 02:45:35.753000,0 days 02:46:25.487000,0 days 02:46:54.232000,315.0,207.0,223.0,309.0,True,MEDIUM,2.0,True,Mercedes,0 days 02:45:03.796000,2025-07-27 14:50:31.766,1,5.0,False,,False,True
0 days 02:48:42.673000,RUS,63,0 days 00:01:48.518000,15.0,2.0,,,0 days 00:00:31.184000,0 days 00:00:48.653000,0 days 00:00:28.681000,0 days 02:47:25.416000,0 days 02:48:14.069000,0 days 02:48:42.750000,291.0,206.0,222.0,317.0,True,MEDIUM,3.0,True,Mercedes,0 days 02:46:54.155000,2025-07-27 14:52:22.125,1,5.0,False,,False,True
0 days 02:50:30.392000,RUS,63,0 days 00:01:47.719000,16.0,2.0,,,0 days 00:00:30.975000,0 days 00:00:48.059000,0 days 00:00:28.685000,0 days 02:49:13.725000,0 days 02:50:01.784000,0 days 02:50:30.469000,333.0,207.0,221.0,316.0,True,MEDIUM,4.0,True,Mercedes,0 days 02:48:42.673000,2025-07-27 14:54:10.643,1,5.0,False,,False,True
0 days 02:52:18.153000,RUS,63,0 days 00:01:47.761000,17.0,2.0,,,0 days 00:00:31.143000,0 days 00:00:47.842000,0 days 00:00:28.776000,0 days 02:51:01.612000,0 days 02:51:49.454000,0 days 02:52:18.230000,322.0,207.0,220.0,317.0,False,MEDIUM,5.0,True,Mercedes,0 days 02:50:30.392000,2025-07-27 14:55:58.362,1,5.0,False,,False,True
0 days 02:54:05.851000,RUS,63,0 days 00:01:47.698000,18.0,2.0,,,0 days 00:00:31.069000,0 days 00:00:47.865000,0 days 00:00:28.764000,0 days 02:52:49.299000,0 days 02:53:37.164000,0 days 02:54:05.928000,332.0,207.0,219.0,316.0,True,MEDIUM,6.0,True,Mercedes,0 days 02:52:18.153000,2025-07-27 14:57:46.123,1,5.0,False,,False,True
0 days 02:55:53.097000,RUS,63,0 days 00:01:47.246000,19.0,2.0,,,0 days 00:00:30.939000,0 days 00:00:47.587000,0 days 00:00:28.720000,0 days 02:54:36.867000,0 days 02:55:24.454000,0 days 02:55:53.174000,330.0,206.0,219.0,317.0,True,MEDIUM,7.0,True,Mercedes,0 days 02:54:05.851000,2025-07-27 14:59:33.821,1,5.0,False,,False,True
