Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:00.826000,ANT,12,0 days 00:01:51.613000,1.0,1.0,,,,0 days 00:00:42.820000,0 days 00:00:30.063000,,0 days 00:57:31.044000,0 days 00:58:00.958000,299.0,240.0,198.0,308.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:56:09.003000,2025-07-06 14:03:49.616,12,8.0,False,,False,False
0 days 01:00:14.055000,ANT,12,0 days 00:02:13.229000,2.0,1.0,,0 days 01:00:08.067000,0 days 00:00:57.948000,0 days 00:00:46.640000,0 days 00:00:28.641000,0 days 00:58:58.843000,0 days 00:59:45.483000,0 days 01:00:14.124000,100.0,227.0,,270.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 00:58:00.826000,2025-07-06 14:05:41.439,26,4.0,False,,False,False
0 days 01:02:47.614000,ANT,12,,3.0,2.0,0 days 01:00:36.856000,,0 days 00:01:05.602000,0 days 00:00:49.214000,0 days 00:00:38.734000,0 days 01:01:19.847000,0 days 01:02:08.971000,0 days 01:02:47.814000,140.0,189.0,156.0,185.0,False,HARD,1.0,True,Mercedes,0 days 01:00:14.055000,2025-07-06 14:07:54.668,67,13.0,False,,False,False
0 days 01:04:42.649000,ANT,12,0 days 00:01:55.035000,4.0,2.0,,,0 days 00:00:37.597000,0 days 00:00:44.156000,0 days 00:00:33.282000,0 days 01:03:25.280000,0 days 01:04:09.436000,0 days 01:04:42.718000,285.0,235.0,167.0,306.0,True,HARD,2.0,True,Mercedes,0 days 01:02:47.614000,2025-07-06 14:10:28.227,712,13.0,False,,False,False
0 days 01:06:44.454000,ANT,12,0 days 00:02:01.805000,5.0,2.0,,,0 days 00:00:36.376000,0 days 00:00:44.804000,0 days 00:00:40.625000,0 days 01:05:19.094000,0 days 01:06:03.898000,0 days 01:06:44.523000,271.0,103.0,143.0,263.0,False,HARD,3.0,True,Mercedes,0 days 01:04:42.649000,2025-07-06 14:12:23.262,126,14.0,False,,False,False
0 days 01:09:00.216000,ANT,12,0 days 00:02:15.762000,6.0,2.0,,,0 days 00:00:42.283000,0 days 00:00:55.916000,0 days 00:00:37.563000,0 days 01:07:26.806000,0 days 01:08:22.722000,0 days 01:09:00.285000,207.0,233.0,153.0,213.0,False,HARD,4.0,True,Mercedes,0 days 01:06:44.454000,2025-07-06 14:14:25.067,6,14.0,False,,False,False
0 days 01:10:55.752000,ANT,12,0 days 00:01:55.536000,7.0,2.0,,,0 days 00:00:41.806000,0 days 00:00:41.210000,0 days 00:00:32.520000,0 days 01:09:42.091000,0 days 01:10:23.301000,0 days 01:10:55.821000,268.0,249.0,177.0,309.0,False,HARD,5.0,True,Mercedes,0 days 01:09:00.216000,2025-07-06 14:16:40.829,671,14.0,False,,False,False
0 days 01:12:41.328000,ANT,12,0 days 00:01:45.576000,8.0,2.0,,,0 days 00:00:33.574000,0 days 00:00:39.634000,0 days 00:00:32.368000,0 days 01:11:29.395000,0 days 01:12:09.029000,0 days 01:12:41.397000,298.0,252.0,179.0,309.0,True,HARD,6.0,True,Mercedes,0 days 01:10:55.752000,2025-07-06 14:18:36.365,1,14.0,False,,False,True
0 days 01:14:20.664000,ANT,12,0 days 00:01:39.336000,9.0,2.0,,0 days 01:14:14.745000,0 days 00:00:32.350000,0 days 00:00:38.922000,0 days 00:00:28.064000,0 days 01:13:13.747000,0 days 01:13:52.669000,0 days 01:14:20.733000,,252.0,,296.0,False,HARD,7.0,True,Mercedes,0 days 01:12:41.328000,2025-07-06 14:20:21.941,1,14.0,False,,False,False
0 days 01:16:26.643000,ANT,12,0 days 00:02:05.979000,10.0,3.0,0 days 01:14:43.467000,,0 days 00:00:51.667000,0 days 00:00:44.491000,0 days 00:00:29.821000,0 days 01:15:12.400000,0 days 01:15:56.891000,0 days 01:16:26.712000,285.0,243.0,203.0,309.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:14:20.664000,2025-07-06 14:22:01.277,1,17.0,False,,False,False
