Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:28.887000,ANT,12,0 days 00:01:29.534000,1.0,1.0,,,,0 days 00:00:29.599000,0 days 00:00:27.795000,,0 days 00:57:01.267000,0 days 00:57:29.071000,206.0,256.0,273.0,298.0,False,HARD,1.0,True,Mercedes,0 days 00:55:59.147000,2025-05-18 13:03:33.062,1,12.0,False,,False,False
0 days 00:58:52.180000,ANT,12,0 days 00:01:23.293000,2.0,1.0,,,0 days 00:00:26.647000,0 days 00:00:29.038000,0 days 00:00:27.608000,0 days 00:57:55.534000,0 days 00:58:24.572000,0 days 00:58:52.180000,212.0,255.0,273.0,294.0,True,HARD,2.0,True,Mercedes,0 days 00:57:28.887000,2025-05-18 13:05:02.802,1,12.0,False,,False,True
0 days 01:00:13.968000,ANT,12,0 days 00:01:21.788000,3.0,1.0,,,0 days 00:00:25.669000,0 days 00:00:28.671000,0 days 00:00:27.448000,0 days 00:59:17.849000,0 days 00:59:46.520000,0 days 01:00:13.968000,215.0,256.0,274.0,294.0,True,HARD,3.0,True,Mercedes,0 days 00:58:52.180000,2025-05-18 13:06:26.095,1,11.0,False,,False,True
0 days 01:01:35.207000,ANT,12,0 days 00:01:21.239000,4.0,1.0,,,0 days 00:00:25.606000,0 days 00:00:28.453000,0 days 00:00:27.180000,0 days 01:00:39.574000,0 days 01:01:08.027000,0 days 01:01:35.207000,211.0,253.0,276.0,292.0,True,HARD,4.0,True,Mercedes,0 days 01:00:13.968000,2025-05-18 13:07:47.883,1,11.0,False,,False,True
0 days 01:02:56.733000,ANT,12,0 days 00:01:21.526000,5.0,1.0,,,0 days 00:00:25.442000,0 days 00:00:28.653000,0 days 00:00:27.431000,0 days 01:02:00.649000,0 days 01:02:29.302000,0 days 01:02:56.733000,216.0,256.0,277.0,293.0,False,HARD,5.0,True,Mercedes,0 days 01:01:35.207000,2025-05-18 13:09:09.122,1,11.0,False,,False,True
0 days 01:04:18.456000,ANT,12,0 days 00:01:21.723000,6.0,1.0,,,0 days 00:00:25.522000,0 days 00:00:28.638000,0 days 00:00:27.563000,0 days 01:03:22.255000,0 days 01:03:50.893000,0 days 01:04:18.456000,217.0,256.0,275.0,292.0,False,HARD,6.0,True,Mercedes,0 days 01:02:56.733000,2025-05-18 13:10:30.648,1,11.0,False,,False,True
0 days 01:05:40.450000,ANT,12,0 days 00:01:21.994000,7.0,1.0,,,0 days 00:00:25.557000,0 days 00:00:28.665000,0 days 00:00:27.772000,0 days 01:04:44.013000,0 days 01:05:12.678000,0 days 01:05:40.450000,216.0,256.0,275.0,288.0,False,HARD,7.0,True,Mercedes,0 days 01:04:18.456000,2025-05-18 13:11:52.371,1,11.0,False,,False,True
0 days 01:07:02.826000,ANT,12,0 days 00:01:22.376000,8.0,1.0,,,0 days 00:00:25.982000,0 days 00:00:28.724000,0 days 00:00:27.670000,0 days 01:06:06.432000,0 days 01:06:35.156000,0 days 01:07:02.826000,214.0,256.0,277.0,295.0,False,HARD,8.0,True,Mercedes,0 days 01:05:40.450000,2025-05-18 13:13:14.365,1,11.0,False,,False,True
0 days 01:08:24.479000,ANT,12,0 days 00:01:21.653000,9.0,1.0,,,0 days 00:00:25.640000,0 days 00:00:28.615000,0 days 00:00:27.398000,0 days 01:07:28.466000,0 days 01:07:57.081000,0 days 01:08:24.479000,,254.0,276.0,297.0,False,HARD,9.0,True,Mercedes,0 days 01:07:02.826000,2025-05-18 13:14:36.741,1,11.0,False,,False,True
0 days 01:09:46.439000,ANT,12,0 days 00:01:21.960000,10.0,1.0,,,0 days 00:00:25.633000,0 days 00:00:28.681000,0 days 00:00:27.646000,0 days 01:08:50.112000,0 days 01:09:18.793000,0 days 01:09:46.439000,213.0,256.0,276.0,295.0,False,HARD,10.0,True,Mercedes,0 days 01:08:24.479000,2025-05-18 13:15:58.394,1,10.0,False,,False,True
