Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:44.892000,RUS,63,0 days 00:01:37.985000,1.0,1.0,,,,0 days 00:00:42.500000,0 days 00:00:18.149000,,0 days 00:57:26.814000,0 days 00:57:45.064000,280.0,302.0,266.0,299.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:56:06.651000,2025-04-06 05:03:47.081,1,5.0,False,,False,False
0 days 00:59:19.083000,RUS,63,0 days 00:01:34.191000,2.0,1.0,,,0 days 00:00:33.985000,0 days 00:00:42.155000,0 days 00:00:18.051000,0 days 00:58:18.921000,0 days 00:59:01.076000,0 days 00:59:19.127000,281.0,303.0,269.0,300.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:57:44.892000,2025-04-06 05:05:25.322,1,5.0,False,,False,True
0 days 01:00:53.287000,RUS,63,0 days 00:01:34.204000,3.0,1.0,,,0 days 00:00:33.652000,0 days 00:00:42.334000,0 days 00:00:18.218000,0 days 00:59:52.779000,0 days 01:00:35.113000,0 days 01:00:53.331000,283.0,305.0,269.0,301.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:59:19.083000,2025-04-06 05:06:59.513,1,5.0,False,,False,True
0 days 01:02:27.344000,RUS,63,0 days 00:01:34.057000,4.0,1.0,,,0 days 00:00:33.511000,0 days 00:00:42.480000,0 days 00:00:18.066000,0 days 01:01:26.842000,0 days 01:02:09.322000,0 days 01:02:27.388000,280.0,302.0,270.0,302.0,True,MEDIUM,4.0,True,Mercedes,0 days 01:00:53.287000,2025-04-06 05:08:33.717,1,5.0,False,,False,True
0 days 01:04:01.139000,RUS,63,0 days 00:01:33.795000,5.0,1.0,,,0 days 00:00:33.241000,0 days 00:00:42.398000,0 days 00:00:18.156000,0 days 01:03:00.629000,0 days 01:03:43.027000,0 days 01:04:01.183000,284.0,303.0,270.0,304.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:02:27.344000,2025-04-06 05:10:07.774,1,5.0,False,,False,True
0 days 01:05:35.061000,RUS,63,0 days 00:01:33.922000,6.0,1.0,,,0 days 00:00:33.263000,0 days 00:00:42.485000,0 days 00:00:18.174000,0 days 01:04:34.446000,0 days 01:05:16.931000,0 days 01:05:35.105000,,304.0,270.0,303.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:04:01.139000,2025-04-06 05:11:41.569,1,5.0,False,,False,True
0 days 01:07:09.242000,RUS,63,0 days 00:01:34.181000,7.0,1.0,,,0 days 00:00:33.194000,0 days 00:00:42.793000,0 days 00:00:18.194000,0 days 01:06:08.299000,0 days 01:06:51.092000,0 days 01:07:09.286000,283.0,302.0,269.0,300.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:05:35.061000,2025-04-06 05:13:15.491,1,5.0,False,,False,True
0 days 01:08:43.040000,RUS,63,0 days 00:01:33.798000,8.0,1.0,,,0 days 00:00:32.911000,0 days 00:00:42.645000,0 days 00:00:18.242000,0 days 01:07:42.197000,0 days 01:08:24.842000,0 days 01:08:43.084000,282.0,302.0,268.0,301.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:07:09.242000,2025-04-06 05:14:49.672,1,5.0,False,,False,True
0 days 01:10:16.856000,RUS,63,0 days 00:01:33.816000,9.0,1.0,,,0 days 00:00:32.847000,0 days 00:00:42.697000,0 days 00:00:18.272000,0 days 01:09:15.931000,0 days 01:09:58.628000,0 days 01:10:16.900000,283.0,304.0,269.0,301.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:08:43.040000,2025-04-06 05:16:23.470,1,5.0,False,,False,True
0 days 01:11:50.459000,RUS,63,0 days 00:01:33.603000,10.0,1.0,,,0 days 00:00:32.889000,0 days 00:00:42.573000,0 days 00:00:18.141000,0 days 01:10:49.789000,0 days 01:11:32.362000,0 days 01:11:50.503000,282.0,304.0,269.0,304.0,True,MEDIUM,10.0,True,Mercedes,0 days 01:10:16.856000,2025-04-06 05:17:57.286,1,5.0,False,,False,True
