Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:43.791000,ANT,12,0 days 00:01:34.721000,1.0,1.0,,,,0 days 00:00:40.866000,0 days 00:00:22.426000,,0 days 00:57:21.441000,0 days 00:57:43.956000,156.0,176.0,255.0,279.0,False,HARD,1.0,True,Mercedes,0 days 00:56:08.809000,2025-05-25 13:03:09.195,126,14.0,False,,False,False
0 days 00:59:35.199000,ANT,12,0 days 00:01:51.408000,2.0,1.0,,,0 days 00:00:39.052000,0 days 00:00:48.171000,0 days 00:00:24.185000,0 days 00:58:22.843000,0 days 00:59:11.014000,0 days 00:59:35.199000,60.0,177.0,122.0,257.0,True,HARD,2.0,True,Mercedes,0 days 00:57:43.791000,2025-05-25 13:04:44.177,6,14.0,False,,False,False
0 days 01:01:24.070000,ANT,12,0 days 00:01:48.871000,3.0,1.0,,,0 days 00:00:31.739000,0 days 00:00:47.910000,0 days 00:00:29.222000,0 days 01:00:06.938000,0 days 01:00:54.848000,0 days 01:01:24.070000,113.0,150.0,154.0,235.0,True,HARD,3.0,True,Mercedes,0 days 00:59:35.199000,2025-05-25 13:06:35.585,6,14.0,False,,False,False
0 days 01:03:00.645000,ANT,12,0 days 00:01:36.575000,4.0,1.0,,,0 days 00:00:30.840000,0 days 00:00:44.027000,0 days 00:00:21.708000,0 days 01:01:54.910000,0 days 01:02:38.937000,0 days 01:03:00.645000,83.0,178.0,263.0,258.0,True,HARD,4.0,True,Mercedes,0 days 01:01:24.070000,2025-05-25 13:08:24.456,671,14.0,False,,False,False
0 days 01:04:21.022000,ANT,12,0 days 00:01:20.377000,5.0,1.0,,,0 days 00:00:21.314000,0 days 00:00:37.578000,0 days 00:00:21.485000,0 days 01:03:21.959000,0 days 01:03:59.537000,0 days 01:04:21.022000,178.0,181.0,264.0,277.0,True,HARD,5.0,True,Mercedes,0 days 01:03:00.645000,2025-05-25 13:10:01.031,1,14.0,False,,False,True
0 days 01:05:41.779000,ANT,12,0 days 00:01:20.757000,6.0,1.0,,,0 days 00:00:21.476000,0 days 00:00:37.739000,0 days 00:00:21.542000,0 days 01:04:42.498000,0 days 01:05:20.237000,0 days 01:05:41.779000,172.0,180.0,266.0,269.0,False,HARD,6.0,True,Mercedes,0 days 01:04:21.022000,2025-05-25 13:11:21.408,1,14.0,False,,False,True
0 days 01:07:02.973000,ANT,12,0 days 00:01:21.194000,7.0,1.0,,,0 days 00:00:21.573000,0 days 00:00:37.746000,0 days 00:00:21.875000,0 days 01:06:03.352000,0 days 01:06:41.098000,0 days 01:07:02.973000,169.0,180.0,266.0,275.0,False,HARD,7.0,True,Mercedes,0 days 01:05:41.779000,2025-05-25 13:12:42.165,1,14.0,False,,False,True
0 days 01:08:23.850000,ANT,12,0 days 00:01:20.877000,8.0,1.0,,,0 days 00:00:21.393000,0 days 00:00:37.795000,0 days 00:00:21.689000,0 days 01:07:24.366000,0 days 01:08:02.161000,0 days 01:08:23.850000,178.0,178.0,258.0,278.0,False,HARD,8.0,True,Mercedes,0 days 01:07:02.973000,2025-05-25 13:14:03.359,12,14.0,False,,False,True
0 days 01:09:47.176000,ANT,12,0 days 00:01:23.326000,9.0,1.0,,,0 days 00:00:20.970000,0 days 00:00:40.050000,0 days 00:00:22.306000,0 days 01:08:44.820000,0 days 01:09:24.870000,0 days 01:09:47.176000,181.0,170.0,262.0,261.0,False,HARD,9.0,True,Mercedes,0 days 01:08:23.850000,2025-05-25 13:15:24.236,2,14.0,False,,False,True
0 days 01:11:08.699000,ANT,12,0 days 00:01:21.523000,10.0,1.0,,,0 days 00:00:21.258000,0 days 00:00:38.634000,0 days 00:00:21.631000,0 days 01:10:08.434000,0 days 01:10:47.068000,0 days 01:11:08.699000,174.0,178.0,265.0,255.0,False,HARD,10.0,True,Mercedes,0 days 01:09:47.176000,2025-05-25 13:16:47.562,2,14.0,False,,False,True
