,count,mean,std,min,25%,50%,75%,max
DriverNumber,88.0,30.0,14.080229883180829,16.0,16.0,30.0,44.0,44.0
LapNumber,88.0,22.5,12.771196039363817,1.0,11.75,22.5,33.25,44.0
Stint,88.0,1.7386363636363635,0.44189555591864443,1.0,1.0,2.0,2.0,2.0
SpeedI1,80.0,308.125,26.701052461123055,202.0,309.0,315.5,317.0,344.0
SpeedI2,88.0,194.36363636363637,25.513206775280185,87.0,182.25,207.0,208.0,211.0
SpeedFL,86.0,215.43023255813952,9.863230228151208,173.0,215.0,220.0,221.0,224.0
SpeedST,69.0,300.0869565217391,24.97159511644874,184.0,301.0,311.0,313.0,316.0
TyreLife,88.0,14.011363636363637,9.49832933668273,1.0,6.0,11.5,22.0,33.0
TrackStatus,88.0,2.340909090909091,6.265920162744926,1.0,1.0,1.0,1.0,41.0
Position,88.0,6.295454545454546,4.431234723000343,3.0,3.0,6.0,7.0,18.0
DeletedReason,0.0,,,,,,,
